分组,样本量,ST比例,Logistic_AUC,LightGBM_AUC,机器学习AUC边际提升
小规模(高信息不对称),779,0.19127086007702182,0.9423031852562054,0.9430808565036752,0.0007776712474698577
大规模(低信息不对称),779,0.03594351732991014,0.9778390717139053,0.9761746243104432,-0.0016644474034620549
中等规模,778,0.10925449871465295,0.9651642475171887,0.9610050080638316,-0.004159239453357055
