日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率,股票代码
2020-01-02,3.58,3.75,3.53,3.69,8834850.0,32338554.0,356350622.0,0.024792576340725455,000679
2020-01-03,3.67,3.74,3.64,3.72,4665652.0,17309409.0,356350622.0,0.013092868966565183,000679
2020-01-06,3.74,3.89,3.72,3.87,11543302.0,44191780.0,356350622.0,0.03239310187032591,000679
2020-01-07,3.86,3.97,3.84,3.92,8119850.0,31669038.0,356350622.0,0.022786125514325607,000679
2020-01-08,3.93,3.98,3.86,3.92,5386709.0,21134881.0,356350622.0,0.015116317097378323,000679
2020-01-09,4.31,4.31,4.31,4.31,2146353.0,9250781.0,356350622.0,0.006023149301532579,000679
2020-01-10,4.74,4.74,4.65,4.74,14889508.0,70559016.0,356350622.0,0.04178330857522679,000679
2020-01-13,4.7,4.74,4.36,4.43,33682882.0,151192424.0,356350622.0,0.09452174325094906,000679
2020-01-14,4.34,4.54,4.24,4.26,18695700.0,81999583.0,356350622.0,0.05246433946171139,000679
2020-01-15,4.01,4.14,3.94,3.99,16649882.0,67061655.0,356350622.0,0.046723313983720226,000679
2020-01-16,4.0,4.0,3.92,4.0,7308731.0,28949415.0,356350622.0,0.020509943153684183,000679
2020-01-17,3.96,4.01,3.85,3.86,7399227.0,28965002.0,356350622.0,0.020763895285132967,000679
2020-01-20,3.8,3.85,3.7,3.81,6011096.0,22739626.0,356350622.0,0.01686848746401234,000679
2020-01-21,3.78,3.8,3.7,3.71,3847431.0,14410864.0,356350622.0,0.010796756796456497,000679
2020-01-22,3.73,3.74,3.6,3.66,5125400.0,18816797.0,356350622.0,0.014383025266615081,000679
2020-01-23,3.62,3.69,3.46,3.47,5837150.0,20805149.0,356350622.0,0.01638035586198584,000679
2020-02-03,3.12,3.12,3.12,3.12,751200.0,2343744.0,356350622.0,0.0021080361689392534,000679
2020-02-04,2.81,2.96,2.81,2.92,8870229.0,25656975.0,356350622.0,0.024891857772595664,000679
2020-02-05,2.93,3.08,2.9,3.02,5798100.0,17488949.0,356350622.0,0.016270772778390154,000679
2020-02-06,3.03,3.26,2.99,3.21,6137741.0,19387348.0,356350622.0,0.017223881820528995,000679
2020-02-07,3.21,3.49,3.21,3.28,5764332.0,19144617.0,356350622.0,0.016176012174885443,000679
2020-02-10,3.25,3.36,3.19,3.32,3465005.0,11364940.0,356350622.0,0.009723583420600848,000679
2020-02-11,3.29,3.33,3.26,3.28,2311300.0,7618641.0,356350622.0,0.006486027685395762,000679
2020-02-12,3.3,3.36,3.28,3.3,2576587.0,8566563.0,356350622.0,0.00723048267893861,000679
