日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率,股票代码
2020-01-02,11.65,12.66,11.61,12.21,41548035.0,507676919.0,637978039.0,0.06512455360551996,002530
2020-01-03,12.43,13.43,12.43,13.43,40603448.0,537995572.0,637978039.0,0.06364395875388432,002530
2020-01-06,13.49,14.48,13.05,13.6,56542503.0,767665348.0,637978039.0,0.08862766356131578,002530
2020-01-07,13.53,14.26,13.25,13.9,34251082.0,467843496.0,637978039.0,0.0536869294963302,002530
2020-01-08,13.5,14.37,13.38,13.62,31129357.0,431324041.0,637978039.0,0.04879377517256515,002530
2020-01-09,14.13,14.18,13.45,13.88,26932678.0,371741630.0,637978039.0,0.04221568197271443,002530
2020-01-10,13.61,13.98,13.3,13.4,23415131.0,316579185.0,637978039.0,0.03670209563436086,002530
2020-01-13,13.31,13.63,13.15,13.63,20008778.0,268658462.0,637978039.0,0.03136280056185445,002530
2020-01-14,14.02,14.98,14.0,14.55,39464183.0,573937946.0,637978039.0,0.06185821546750765,002530
2020-01-15,14.61,15.98,14.02,15.65,43022555.0,646404925.0,637978039.0,0.06743579303675687,002530
2020-01-16,15.36,16.0,14.86,15.45,33018540.0,505079002.0,637978039.0,0.051754978982905084,002530
2020-01-17,15.5,15.89,14.81,15.16,22655623.0,344514286.0,637978039.0,0.035511603245013894,002530
2020-01-20,15.0,16.68,14.51,16.5,31321026.0,491582857.0,637978039.0,0.04909420714401738,002530
2020-01-21,16.41,16.78,16.01,16.1,16519117.0,268722312.0,637978039.0,0.025892924192019093,002530
2020-01-22,16.0,16.38,14.8,16.13,20485936.0,324077621.0,637978039.0,0.03211072285828322,002530
2020-01-23,15.88,16.38,14.9,15.06,20479101.0,318112149.0,637978039.0,0.032100009323361677,002530
2020-02-03,13.55,13.55,13.55,13.55,867500.0,11754625.0,637978039.0,0.0013597646736551695,002530
2020-02-04,12.2,14.5,12.2,14.11,47612812.0,617484750.0,637978039.0,0.07463080088874345,002530
2020-02-05,14.19,14.82,13.32,13.95,33347683.0,470159551.0,637978039.0,0.05227089486069285,002530
2020-02-06,14.2,15.32,13.71,15.32,36283002.0,530839643.0,637978039.0,0.056871866713267855,002530
2020-02-07,15.1,15.75,14.76,15.4,28704635.0,436956607.0,637978039.0,0.044993139646300584,002530
2020-02-10,15.17,15.52,14.82,15.38,21258944.0,322408358.0,637978039.0,0.033322375850620777,002530
2020-02-11,15.25,15.37,14.33,14.4,20364917.0,299653953.0,637978039.0,0.03192103137581512,002530
2020-02-12,14.4,15.8,14.35,15.77,32281112.0,494319386.0,637978039.0,0.050599095935338304,002530
2020-02-13,15.4,15.7,15.02,15.19,23036182.0,351429092.0,637978039.0,0.036108111238606445,002530
2020-02-14,15.17,15.27,14.56,14.7,21250479.0,315511547.0,637978039.0,0.03330910736881963,002530
2020-02-17,14.7,15.35,14.7,15.27,23338878.0,352882605.0,637978039.0,0.036582572711409585,002530
2020-02-18,15.37,16.0,15.2,15.99,27196833.0,424817437.0,637978039.0,0.04262973227515752,002530
2020-02-19,15.9,17.3,15.61,16.76,36974883.0,615766364.0,637978039.0,0.0579563570212485,002530
2020-02-20,16.95,17.81,16.74,17.16,32081507.0,553327447.0,637978039.0,0.05028622466423174,002530
2020-02-21,17.21,17.4,16.8,16.89,26370025.0,449353002.0,637978039.0,0.04133375036127223,002530
2020-02-24,16.81,17.14,16.2,16.83,23891599.0,401029506.0,637978039.0,0.03744893638885899,002530
2020-02-25,16.32,16.67,15.6,16.43,24729425.0,402609073.0,637978039.0,0.03876218848968875,002530
2020-02-26,16.05,16.4,15.38,15.4,21444246.0,339011774.0,637978039.0,0.03361282785472181,002530
2020-02-27,15.79,15.84,15.01,15.4,11143477.0,172333221.0,637978039.0,0.017466866128286903,002530
2020-02-28,14.61,15.0,13.86,13.88,19844039.0,284188566.0,637978039.0,0.031104580074738278,002530
2020-03-02,14.0,14.35,13.55,14.13,16507053.0,230788551.0,637978039.0,0.025874014450205863,002530
2020-03-03,14.41,14.8,14.01,14.21,16475167.0,237581858.0,637978039.0,0.02582403467339414,002530
2020-03-04,14.25,14.77,14.0,14.3,14548794.0,208741402.0,637978039.0,0.022804537320445288,002530
2020-03-05,14.6,14.66,14.12,14.35,13382461.0,192496459.0,637978039.0,0.020976366241346436,002530
2020-03-06,14.16,14.28,14.01,14.13,8288142.0,117234006.0,637978039.0,0.012991265362348937,002530
2020-03-09,13.9,13.94,12.96,13.04,19696685.0,262311877.0,637978039.0,0.030873609741917777,002530
2020-03-10,12.9,13.41,12.51,13.4,12149261.0,158537450.0,637978039.0,0.019043384344457036,002530
2020-03-11,13.6,13.93,13.09,13.15,11566300.0,156059516.0,637978039.0,0.018129620916308688,002530
2020-03-12,12.96,13.28,12.7,12.84,7794680.0,100662767.0,637978039.0,0.012217787327315823,002530
2020-03-13,12.0,12.82,12.0,12.64,10367222.0,128760136.0,637978039.0,0.01625012361906708,002530
2020-03-16,12.92,13.0,11.38,11.38,17008616.0,204455942.0,637978039.0,0.02666019041448541,002530
2020-03-17,11.57,12.0,11.13,11.55,24249137.0,281527742.0,637978039.0,0.03800936006827031,002530
2020-03-18,11.85,11.94,11.07,11.12,18393880.0,210750641.0,637978039.0,0.02883152534346092,002530
2020-03-19,11.06,11.34,10.72,11.1,15084051.0,166312139.0,637978039.0,0.023643527014885226,002530
2020-03-20,11.31,11.38,10.85,11.18,11492360.0,127445760.0,637978039.0,0.01801372351000314,002530
2020-03-23,10.89,10.95,10.32,10.45,11582700.0,123234374.0,637978039.0,0.018155327130312083,002530
2020-03-24,10.69,10.88,10.12,10.52,13441940.0,140715566.0,637978039.0,0.02106959672321887,002530
2020-03-25,10.8,10.95,10.6,10.73,12274358.0,131811877.0,637978039.0,0.01923946789648037,002530
2020-03-26,10.75,10.96,10.54,10.58,11615740.0,124438390.0,637978039.0,0.018207115746816483,002530
2020-03-27,10.75,10.8,10.38,10.43,7814100.0,82552444.0,637978039.0,0.012248227246580819,002530
2020-03-30,10.17,10.2,9.7,9.95,10812124.0,107362500.0,637978039.0,0.016947486181416976,002530
2020-03-31,10.09,10.17,9.72,9.82,10458003.0,103855196.0,637978039.0,0.016392418485740384,002530
2020-04-01,9.96,10.06,9.67,9.74,9672420.0,95328849.0,637978039.0,0.015161054783580097,002530
2020-04-02,9.74,10.12,9.64,10.11,10617150.0,105452776.0,637978039.0,0.016641873780862227,002530
2020-04-03,10.16,10.28,9.83,9.85,9404342.0,94233869.0,637978039.0,0.014740855366653146,002530
2020-04-07,10.15,10.73,10.13,10.61,25160711.0,264531527.0,637978039.0,0.039438208624607535,002530
2020-04-08,10.46,10.8,10.37,10.45,18811160.0,198736165.0,637978039.0,0.029485591744639977,002530
2020-04-09,10.51,10.91,10.5,10.7,17350780.0,185772821.0,637978039.0,0.027196516085720625,002530
2020-04-10,10.66,10.72,10.21,10.26,10993250.0,114043843.0,637978039.0,0.01723139250565959,002530
2020-04-13,10.26,10.26,9.82,9.94,7156500.0,71265391.0,637978039.0,0.011217470763127632,002530
2020-04-14,10.03,10.22,9.91,10.21,7140144.0,71980197.0,637978039.0,0.011191833517015465,002530
2020-04-15,10.32,10.99,10.32,10.52,18393940.0,195301762.0,637978039.0,0.028831619390585324,002530
2020-04-16,10.3,11.57,10.3,11.57,37447755.0,416632735.0,637978039.0,0.05869756121809077,002530
2020-04-17,12.09,12.5,11.57,11.75,47775589.0,572880579.0,637978039.0,0.07488594603489165,002530
2020-04-20,11.53,12.9,11.36,12.73,36237576.0,438440360.0,637978039.0,0.056800663635382595,002530
2020-04-21,12.32,12.42,11.98,12.12,27552029.0,335072496.0,637978039.0,0.04318648498181299,002530
2020-04-22,11.5,12.3,11.5,11.91,19195640.0,228826879.0,637978039.0,0.03008824571781224,002530
2020-04-23,11.8,11.99,11.5,11.65,18915726.0,221804513.0,637978039.0,0.02964949393814479,002530
2020-04-24,11.2,11.29,10.49,10.5,28496094.0,308665814.0,637978039.0,0.04466626162346632,002530
2020-04-27,10.65,10.66,10.2,10.24,13417351.0,139631899.0,637978039.0,0.021031054644186583,002530
2020-04-28,10.2,10.3,9.39,9.78,19028943.0,186347577.0,637978039.0,0.029826956159536393,002530
2020-04-29,9.91,10.27,9.73,10.02,11260718.0,112925819.0,637978039.0,0.01765063577682178,002530
2020-04-30,10.06,10.48,10.06,10.41,10618131.0,109497543.0,637978039.0,0.01664341145134621,002530
2020-05-06,10.2,10.65,10.18,10.61,10423480.0,109303399.0,637978039.0,0.016338305337811165,002530
2020-05-07,10.64,10.68,10.31,10.4,9527999.0,99587862.0,637978039.0,0.014934681787690814,002530
2020-05-08,10.48,11.44,10.48,11.37,25971176.0,289208723.0,637978039.0,0.040708573669257606,002530
2020-05-11,11.24,11.71,11.11,11.53,24678276.0,283158428.0,637978039.0,0.03868201488358755,002530
2020-05-12,11.42,11.43,10.88,11.17,15776647.0,175290148.0,637978039.0,0.02472913805109834,002530
2020-05-13,11.02,11.27,10.91,11.26,11213580.0,124633229.0,637978039.0,0.0175767492209869,002530
2020-05-14,11.15,11.55,11.05,11.16,17347457.0,196771197.0,637978039.0,0.02719130744248079,002530
2020-05-15,11.25,11.44,11.16,11.2,11687116.0,132101750.0,637978039.0,0.01831899420600589,002530
2020-05-18,11.08,11.19,10.72,10.89,12971286.0,142201341.0,637978039.0,0.020331869135075353,002530
2020-05-19,10.98,11.13,10.85,10.95,8336718.0,91332838.0,637978039.0,0.013067405914265334,002530
2020-05-20,10.93,10.95,10.6,10.66,11195354.0,120165625.0,637978039.0,0.017548180839497517,002530
2020-05-21,10.67,11.62,10.52,11.15,22928650.0,253759396.0,637978039.0,0.03593955998225199,002530
2020-05-22,10.97,11.17,10.52,10.67,15588730.0,169053453.0,637978039.0,0.024434587159825417,002530
2020-05-25,10.59,10.69,10.0,10.26,10947040.0,113514511.0,637978039.0,0.0171589605453488,002530
2020-05-26,10.36,11.16,10.29,11.1,17539231.0,189730032.0,637978039.0,0.027491903996400727,002530
2020-05-27,11.18,11.39,10.97,11.11,19158683.0,214261191.0,637978039.0,0.03003031739153642,002530
2020-05-28,11.1,11.22,10.6,10.78,11530760.0,124893144.0,637978039.0,0.018073913669620845,002530
2020-05-29,10.78,10.89,10.55,10.57,9382881.0,100068702.0,637978039.0,0.014707216277706386,002530
2020-06-01,10.58,11.63,10.58,11.63,32618535.0,372344704.0,637978039.0,0.05112799031629363,002530
2020-06-02,11.65,11.8,11.47,11.65,22746325.0,264443211.0,637978039.0,0.0356537742829734,002530
2020-06-03,11.75,11.85,11.34,11.84,25767029.0,299145408.0,637978039.0,0.040388583030833765,002530
2020-06-04,11.7,11.75,11.53,11.66,17056424.0,198536801.0,637978039.0,0.026735127163209454,002530
2020-06-05,11.59,11.73,11.36,11.65,14884344.0,171674039.0,637978039.0,0.023330495863667183,002530
2020-06-08,11.66,11.84,11.46,11.48,12160043.0,141246589.0,637978039.0,0.019060284612712194,002530
2020-06-09,11.57,11.77,11.42,11.75,13691601.0,159253048.0,637978039.0,0.021460928375310422,002530
2020-06-10,11.75,12.27,11.66,11.78,22770174.0,272615277.0,637978039.0,0.03569115644747138,002530
2020-06-11,11.74,11.96,11.6,11.61,14655659.0,172161743.0,637978039.0,0.0229720430862668,002530
2020-06-12,11.33,11.66,11.24,11.49,10327812.0,118004490.0,637978039.0,0.016188350332855265,002530
2020-06-15,11.5,11.63,11.23,11.23,10966329.0,125020526.0,637978039.0,0.017189195128392187,002530
2020-06-16,11.2,11.29,10.96,11.25,15793672.0,175503673.0,637978039.0,0.024755823922647593,002530
2020-06-17,11.2,11.22,10.96,11.22,11364859.0,125988599.0,637978039.0,0.017813871803195408,002530
2020-06-18,11.19,11.35,11.08,11.23,9339611.0,104941670.0,637978039.0,0.014639392626491332,002530
2020-06-19,11.23,11.86,11.13,11.55,18795651.0,215417384.0,637978039.0,0.02946128213043396,002530
2020-06-22,11.53,12.7,11.46,12.39,42255243.0,518192093.0,637978039.0,0.06623306825142926,002530
2020-06-23,12.51,12.78,12.35,12.52,23406971.0,292358745.0,637978039.0,0.036689305225442094,002530
2020-06-24,12.56,12.89,12.39,12.47,19655999.0,248273097.0,637978039.0,0.030809836386860332,002530
2020-06-29,12.46,12.7,11.91,12.02,16862654.0,204828367.0,637978039.0,0.026431401974951054,002530
2020-06-30,12.03,12.45,11.9,12.24,13112885.0,160212383.0,636881461.0,0.0205892082011789,002530
2020-07-01,12.31,12.56,11.96,12.11,12376918.0,150426429.0,636881461.0,0.019433628952813874,002530
2020-07-02,12.1,12.76,11.97,12.66,21109098.0,262363761.0,636881461.0,0.033144469249984966,002530
2020-07-03,12.9,13.03,12.31,12.85,25935709.0,326928038.0,636881461.0,0.040722976861780565,002530
2020-07-06,12.85,13.76,12.6,13.54,31607154.0,418288672.0,636881461.0,0.049628001340111236,002530
2020-07-07,13.62,13.88,13.11,13.34,31388822.0,423015922.0,636881461.0,0.04928518715353217,002530
2020-07-08,13.36,14.2,13.15,13.99,28918590.0,396155654.0,636881461.0,0.04540655015235245,002530
2020-07-09,13.86,15.38,13.61,14.55,38933550.0,547623741.0,636881461.0,0.061131548622672185,002530
2020-07-10,14.2,14.45,13.86,14.27,27607432.0,391441412.0,636881461.0,0.043347834236927174,002530
2020-07-13,14.27,14.6,14.05,14.43,22280389.0,319840454.0,636881461.0,0.0349835728693004,002530
2020-07-14,14.52,14.52,13.51,13.82,21135167.0,294848566.0,636881461.0,0.03318540151383053,002530
2020-07-15,13.8,13.94,12.91,12.93,20414737.0,270767550.0,636881461.0,0.03205421770001875,002530
2020-07-16,13.08,13.38,12.21,12.46,15323160.0,197997989.0,636881461.0,0.024059673484513627,002530
2020-07-17,12.41,12.67,12.04,12.2,11409395.0,140767835.0,636881461.0,0.01791447184235121,002530
2020-07-20,12.3,12.72,12.21,12.7,10811163.0,135040550.0,636881461.0,0.01697515732837449,002530
2020-07-21,13.2,13.63,12.86,13.0,17045858.0,225536918.0,636881461.0,0.026764569301853176,002530
2020-07-22,12.88,13.5,12.87,13.18,18209167.0,239965077.0,636881461.0,0.028591139976674562,002530
2020-07-23,12.9,12.91,12.46,12.68,17240836.0,218643076.0,636881461.0,0.02707071418428366,002530
2020-07-24,12.6,12.63,11.62,11.78,16260362.0,197276190.0,636881461.0,0.02553122204949847,002530
2020-07-27,11.91,12.2,11.84,12.06,8493353.0,102099526.0,636881461.0,0.013335845867870223,002530
2020-07-28,12.27,12.55,12.03,12.26,10154538.0,124807353.0,636881461.0,0.01594415699281911,002530
2020-07-29,12.29,12.79,12.06,12.71,15239450.0,191708023.0,636881461.0,0.023928236152567173,002530
2020-07-30,12.68,12.83,12.34,12.38,10602051.0,132418549.0,636881461.0,0.01664681993310526,002530
2020-07-31,12.4,12.57,12.22,12.43,10357712.0,128683259.0,636881461.0,0.016263170832036513,002530
2020-08-03,12.58,13.23,12.45,12.99,20717908.0,267841934.0,636881461.0,0.032530241918911816,002530
2020-08-04,13.2,13.67,12.99,13.09,26552342.0,353636111.0,636881461.0,0.04169118372249181,002530
2020-08-05,13.1,13.17,12.43,12.73,20660263.0,262539100.0,636881461.0,0.03243973057020732,002530
2020-08-06,12.88,13.28,12.74,13.04,18671197.0,242910386.0,636881461.0,0.029316596797594647,002530
2020-08-07,13.36,13.58,13.04,13.29,32853812.0,438057726.0,636881461.0,0.05158544252240371,002530
2020-08-10,13.04,13.29,12.8,13.09,16208311.0,211557631.0,636881461.0,0.025449494124935756,002530
2020-08-11,13.04,13.08,12.29,12.49,16990211.0,215916952.0,636881461.0,0.026677195114649443,002530
2020-08-12,12.23,12.43,11.86,12.16,13686506.0,165494396.0,636881461.0,0.02148987973132413,002530
2020-08-13,12.21,12.27,11.98,12.0,8436618.0,102046737.0,636881461.0,0.013246763356485895,002530
2020-08-14,12.0,12.38,11.93,12.37,10349837.0,126197954.0,636881461.0,0.016250805893688904,002530
2020-08-17,12.56,12.93,12.56,12.78,14558746.0,185693470.0,636881461.0,0.022859428153459784,002530
2020-08-18,12.7,12.98,12.67,12.91,13455304.0,173096279.0,636881461.0,0.02112685770264555,002530
2020-08-19,12.84,12.91,12.41,12.45,11731043.0,148026441.0,636881461.0,0.018419507739447293,002530
2020-08-20,12.38,13.05,12.15,12.64,15754385.0,200361295.0,636881461.0,0.02473676180691967,002530
2020-08-21,12.74,12.78,12.25,12.34,11282105.0,140737368.0,636881461.0,0.017714607334126813,002530
2020-08-24,12.4,12.52,12.01,12.28,11294709.0,139062197.0,636881461.0,0.017734397516086593,002530
2020-08-25,12.25,12.29,11.45,11.74,27027185.0,320580560.0,636881461.0,0.042436758886910037,002530
2020-08-26,11.75,11.79,10.75,10.91,23706300.0,263117116.0,636881461.0,0.037222468311100675,002530
2020-08-27,10.85,10.95,10.59,10.95,11721680.0,126624453.0,636881461.0,0.018404806416558575,002530
2020-08-28,10.88,11.09,10.8,11.04,8460478.0,92561205.0,636881461.0,0.013284227156990522,002530
2020-08-31,11.1,11.33,11.09,11.1,8940438.0,100138458.0,636881461.0,0.014037836783570625,002530
2020-09-01,10.95,11.05,10.81,11.0,7163760.0,78275535.0,636881461.0,0.011248184220579785,002530
2020-09-02,11.11,11.48,10.92,11.42,13656657.0,153188232.0,636881461.0,0.021443012297071715,002530
2020-09-03,11.32,11.62,11.21,11.45,14571273.0,166743384.0,636881461.0,0.022879097433800163,002530
