group_or_contrast,bad_news_effect,std_err,ci_low,ci_high,p_value,firm_years,bad_news_rate,late_rate
Small firms,0.15522616865897945,0.015708481923074225,0.12443754408975397,0.18601479322820494,4.9988454218760257e-23,5101.0,0.2626935894922564,0.29621642815134286
Large firms,0.1552955685188576,0.016709078315455525,0.12254577502056477,0.1880453620171504,1.4847989081839747e-20,5102.0,0.19933359466875736,0.26107408859270875
Large minus small,6.939985987813359e-05,0.022500227595486165,-0.04403104622727475,0.044169845947031015,0.9975390031640997,,,
