strategy,events_kept,events_avoided,mean_car_0_p5_kept,mean_car_0_p5_all,incremental_car_0_p5,cvar10_car_0_p5_kept,cvar10_car_0_p5_all,bad_news_rate_avoided,bad_news_rate_all
Avoid top 20% predicted risk,128,32,0.017947228542524035,0.01616980984042667,0.0017774187020973657,-0.09995265721769347,-0.13863522547481535,1.0,0.425
Avoid top 10% predicted risk,144,16,0.019451805765162547,0.01616980984042667,0.0032819959247358775,-0.1289882891108369,-0.13863522547481535,1.0,0.425
