event_id,symbol,fiscal_year,bad_news_realized,late_disclosure_q75,postponed,revision_count,predicted_bad_news_risk,risk_bucket,actual_disclosure,event_trading_date,car_m1_p1,car_0_p5,car_1_p20,car_m5_m1
29,601111,2023,1,0,0,0,0.39954690377949437,middle_60_risk,2024-03-29,2024-03-29,0.01633290692606404,0.009119091379947264,-0.005337977771130431,-0.009855112457152315
30,002517,2023,0,1,0,0,0.00444169585828422,bottom_20_risk,2024-04-30,2024-04-30,0.04527570488542121,-0.015028801134922998,-0.07024753853837062,0.10608018696708443
31,603212,2022,0,1,0,0,,not_test_year,2023-04-28,2023-04-28,-0.07472991268410689,-0.06585585344537526,0.0001920511847576245,-0.015651154234135767
32,000816,2023,1,0,0,1,0.9915137781450296,top_20_risk,2024-04-26,2024-04-26,0.011810522046312943,0.1079610692331856,0.008199889754920697,-0.0021300962767325515
33,002337,2021,0,0,0,1,,not_test_year,2022-04-19,2022-04-19,0.03388658844383574,-0.06436684845990182,-0.08398313356456255,-0.0178304131923519
34,001259,2023,1,1,0,0,0.9871975145584322,top_20_risk,2024-04-27,2024-04-29,-0.015090597080687829,0.04413349022064306,0.012709365810213202,0.013768001282578934
35,603275,2023,0,0,0,0,0.002995617414110557,bottom_20_risk,2024-04-26,2024-04-26,0.0013654696551488321,-0.0005314259099158392,-0.019225326952634236,0.03962484569286184
36,002329,2021,1,1,1,1,,not_test_year,2022-04-28,2022-04-28,0.057793947050505334,0.06295703182162204,0.1784128064367435,-0.16494958934958237
37,000525,2023,1,1,0,0,0.9975766227227338,top_20_risk,2024-04-30,2024-04-30,-0.03786776074622178,-0.10066966292931723,-0.33123594701557946,0.08866202217812047
38,603281,2023,0,0,0,0,0.003294248744525511,bottom_20_risk,2024-03-28,2024-03-28,-0.010755404345237363,0.0026052531288364156,0.020032278937497594,-0.020806118241288862
39,000100,2021,0,1,0,0,,not_test_year,2022-04-28,2022-04-28,-0.05439351296029382,-0.049254190859463365,0.0670749976211007,-0.05501462234209964
40,600756,2022,0,0,0,0,,not_test_year,2023-04-12,2023-04-12,0.025226200038616642,-0.02168333070664752,-0.12283143965148702,-0.028163614014785288
41,603861,2023,0,0,0,0,0.0016182667432727122,bottom_20_risk,2024-04-23,2024-04-23,0.0022957527997226057,0.04447943167001389,0.1509581072905165,0.055316213531418246
