group,window_day,mean_cumulative_abnormal_return,se_cumulative_abnormal_return,events,ci_low,ci_high
Early/middle disclosure,-20,-0.0028899407695698906,0.0019516927675504007,157,-0.006715258593968676,0.0009353770548288947
Early/middle disclosure,-19,-0.001348374485290566,0.0028591717588873273,157,-0.006952351132709728,0.004255602162128596
Early/middle disclosure,-18,0.0018626178187890856,0.0034528824459131575,157,-0.004905031775200703,0.008630267412778874
Early/middle disclosure,-17,0.0025801583208972046,0.004022657103072761,157,-0.005304249601125408,0.010464566242919818
Early/middle disclosure,-16,0.0044715380125328105,0.004795841961354693,157,-0.0049283122317223885,0.01387138825678801
Early/middle disclosure,-15,0.010272635483982107,0.005146743815132163,157,0.00018501760632306727,0.020360253361641146
Early/middle disclosure,-14,0.011945456071224108,0.005670175815626416,157,0.000831911472596333,0.023059000669851885
Early/middle disclosure,-13,0.0127909324976627,0.005932150610111021,157,0.0011639173018450997,0.024417947693480303
Early/middle disclosure,-12,0.012683049931440983,0.006459970031044612,157,2.150867059354418e-05,0.02534459119228842
Early/middle disclosure,-11,0.012790684802025788,0.006233790689945342,157,0.0005724550497329187,0.025008914554318657
Early/middle disclosure,-10,0.018326270387724587,0.006595492074204712,157,0.005399105922283352,0.031253434853165826
Early/middle disclosure,-9,0.010358706296885607,0.006825055465357583,157,-0.003018402415215256,0.02373581500898647
Early/middle disclosure,-8,0.00333952025846241,0.007851858819150676,157,-0.012050123027072914,0.018729163543997736
Early/middle disclosure,-7,0.0072553487603914555,0.007717855598241596,157,-0.007871648212162071,0.022382345732944984
Early/middle disclosure,-6,0.005904015849058621,0.007746522285773584,157,-0.009279167831057604,0.021087199529174844
Early/middle disclosure,-5,0.005288676978136537,0.008371790050050426,157,-0.011120031519962298,0.02169738547623537
Early/middle disclosure,-4,0.0012394469785937245,0.008430416047273195,157,-0.015284168474061739,0.01776306243124919
Early/middle disclosure,-3,-0.0009567650712038046,0.008179859494267697,157,-0.016989289679968492,0.015075759537560882
Early/middle disclosure,-2,-0.0010509091209992705,0.008500567136062667,157,-0.017712020707682095,0.015610202465683556
Early/middle disclosure,-1,0.0012124446195139417,0.009138414453871632,157,-0.01669884771007446,0.01912373694910234
Early/middle disclosure,0,0.007053136714663634,0.00984067915191267,157,-0.012234594423085198,0.026340867852412464
Early/middle disclosure,1,0.008934391984882429,0.01001130763208337,157,-0.010687770974000976,0.028556554943765834
Early/middle disclosure,2,0.010111244709029575,0.01072340602626534,157,-0.01090663110245049,0.03112912052050964
Early/middle disclosure,3,0.007471942880011027,0.010442846544345739,157,-0.01299603634690662,0.027939922106928677
Early/middle disclosure,4,0.012268080548599203,0.010637113763146487,157,-0.00858066242716791,0.03311682352436632
Early/middle disclosure,5,0.011511651608633475,0.010211020355641108,157,-0.008501948288423097,0.03152525150569005
