bad_news_realized,late_disclosure_q75,events,mean_car_m1_p1,mean_car_0_p5,mean_car_1_p20,median_car_0_p5
0,0,99,0.013159980115393318,0.012985263268631857,-0.00730017751964862,0.0017838446431991395
0,1,39,0.004687693774947374,0.013605688823649648,0.034816138551362244,0.006263071028170253
1,0,58,0.004566452451715313,0.005714386787882981,0.0023892676793348332,0.0008712233023140947
1,1,44,0.042156765579712256,0.02227251382672998,-0.0017954416360081563,0.041918152723230795
