fiscal_year,firm_years,bad_news_rate,severe_bad_news_rate,mean_actual_doy,late_rate,postponed_rate,forecast_available_rate
2019,1903,0.1676300578034682,0.1676300578034682,109.73410404624278,0.27325275880189176,0.41355754072517076,0.49448239621650025
2020,2013,0.18330849478390462,0.17883755588673622,104.27769498261301,0.2791852955787382,0.08792846497764531,0.5380029806259314
2021,2110,0.2075829383886256,0.18909952606635072,105.37156398104266,0.2976303317535545,0.11516587677725118,0.5170616113744075
2022,2190,0.29041095890410956,0.26073059360730594,106.05342465753425,0.26073059360730594,0.08721461187214612,0.5182648401826484
2023,2239,0.276462706565431,0.25011165698972754,107.35998213488165,0.2845020098258151,0.09691826708351943,0.5189816882536846
