序号,股票代码,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间
1,002107,沃华医药,2021-01-21,,,,2021-01-21
2,300617,安靠智电,2021-01-27,,,,2021-01-27
3,002072,凯瑞德,2021-01-30,,,,2021-01-30
4,000001,平安银行,2021-02-02,,,,2021-02-02
5,002984,森麒麟,2021-02-02,,,,2021-02-02
6,000690,宝新能源,2021-02-03,,,,2021-02-03
7,600301,华锡有色,2021-02-03,2021-02-04,,,2021-02-04
8,600315,上海家化,2021-02-03,,,,2021-02-03
9,600885,宏发股份,2021-02-03,,,,2021-02-03
10,000504,*ST生物,2021-02-04,2021-02-09,2021-03-31,,2021-03-31
11,000803,山高环能,2021-02-04,,,,2021-02-04
12,601318,中国平安,2021-02-04,,,,2021-02-04
13,002496,*ST辉丰,2021-02-05,2021-03-30,2021-04-30,,2021-04-30
14,601218,吉鑫科技,2021-02-05,,,,2021-02-05
15,000798,中水渔业,2021-02-06,,,,2021-02-06
16,300125,*ST聆达,2021-02-06,2021-03-09,,,2021-03-09
17,300443,金雷股份,2021-02-08,,,,2021-02-08
18,002014,永新股份,2021-02-09,,,,2021-02-09
19,002058,*ST威尔,2021-02-09,2021-04-15,2021-04-07,,2021-04-07
20,002130,沃尔核材,2021-02-09,,,,2021-02-09
21,002192,融捷股份,2021-02-09,,,,2021-02-09
22,002245,蔚蓝锂芯,2021-02-09,,,,2021-02-09
23,002306,*ST云网,2021-02-09,2021-03-10,,,2021-03-10
24,002577,雷柏科技,2021-02-09,,,,2021-02-09
25,002846,英联股份,2021-02-09,,,,2021-02-09
26,002988,豪美新材,2021-02-09,,,,2021-02-09
27,300285,国瓷材料,2021-02-09,,,,2021-02-09
28,300314,戴维医疗,2021-02-09,,,,2021-02-09
29,300896,爱美客,2021-02-09,,,,2021-02-09
30,603856,东宏股份,2021-02-09,,,,2021-02-09
31,002895,川恒股份,2021-02-10,,,,2021-02-10
32,300860,锋尚文化,2021-02-23,,,,2021-02-23
33,300816,艾可蓝,2021-02-24,,,,2021-02-24
34,002379,宏桥控股,2021-02-25,2021-03-05,,,2021-03-05
35,002402,和而泰,2021-02-25,,,,2021-02-25
36,002896,中大力德,2021-02-25,2021-03-25,,,2021-03-25
37,002715,登云股份,2021-02-26,2021-03-13,,,2021-03-13
38,600212,绿能慧充,2021-02-26,,,,2021-02-26
39,600354,敦煌种业,2021-02-26,2021-04-29,,,2021-04-29
40,600506,统一股份,2021-02-26,2021-04-09,2021-04-27,,2021-04-27
41,600540,新赛股份,2021-02-26,2021-03-30,2021-03-23,,2021-03-23
42,600749,西藏旅游,2021-02-26,,,,2021-02-26
43,688018,乐鑫科技,2021-02-26,,,,2021-02-26
44,000972,*ST中基,2021-02-27,2021-03-31,2021-04-23,,2021-04-23
45,002125,湘潭电化,2021-02-27,,,,2021-02-27
46,002138,顺络电子,2021-02-27,,,,2021-02-27
47,002319,乐通股份,2021-02-27,,,,2021-02-27
48,002381,双箭股份,2021-02-27,,,,2021-02-27
49,300056,中创环保,2021-02-27,,,,2021-02-27
50,600605,汇通能源,2021-02-27,,,,2021-02-27
51,688021,奥福科技,2021-02-27,,,,2021-02-27
52,688155,先惠技术,2021-02-27,,,,2021-02-27
53,605050,福然德,2021-03-01,,,,2021-03-01
54,000708,中信特钢,2021-03-02,,,,2021-03-02
55,300033,同花顺,2021-03-02,,,,2021-03-02
56,300738,奥飞数据,2021-03-02,,,,2021-03-02
57,300873,海晨股份,2021-03-02,2021-03-03,,,2021-03-03
58,600255,鑫科材料,2021-03-02,,,,2021-03-02
59,600522,中天科技,2021-03-02,2021-03-05,,,2021-03-05
60,600903,贵州燃气,2021-03-02,,,,2021-03-02
61,603212,赛伍技术,2021-03-02,,,,2021-03-02
62,002458,益生股份,2021-03-03,,,,2021-03-03
63,002519,银河电子,2021-03-03,,,,2021-03-03
64,605006,山东玻纤,2021-03-03,2021-03-10,,,2021-03-10
65,688057,金达莱,2021-03-03,,,,2021-03-03
66,300577,开润股份,2021-03-04,2021-03-16,,,2021-03-16
67,000707,双环科技,2021-03-05,,,,2021-03-05
68,002420,毅昌科技,2021-03-05,,,,2021-03-05
69,003009,中天火箭,2021-03-05,,,,2021-03-05
70,300692,中赋科技,2021-03-05,,,,2021-03-05
71,300765,新诺威,2021-03-05,,,,2021-03-05
72,600211,西藏药业,2021-03-05,2021-03-12,,,2021-03-12
73,600586,金晶科技,2021-03-05,2021-04-10,2021-04-23,,2021-04-23
74,603516,淳中科技,2021-03-05,,,,2021-03-05
75,603738,泰晶科技,2021-03-05,,,,2021-03-05
76,688177,百奥泰,2021-03-05,,,,2021-03-05
77,002258,利尔化学,2021-03-06,,,,2021-03-06
78,002681,奋达科技,2021-03-06,,,,2021-03-06
79,002865,钧达股份,2021-03-06,2021-03-13,,,2021-03-13
80,300084,海默科技,2021-03-06,2021-04-17,,,2021-04-17
81,300146,汤臣倍健,2021-03-06,,,,2021-03-06
82,300214,日科化学,2021-03-06,2021-03-02,,,2021-03-02
83,300556,丝路视觉,2021-03-06,,,,2021-03-06
84,300761,立华股份,2021-03-06,,,,2021-03-06
85,600681,百川能源,2021-03-06,,,,2021-03-06
86,600892,*ST大晟,2021-03-06,,,,2021-03-06
87,605369,拱东医疗,2021-03-08,,,,2021-03-08
88,000830,鲁西化工,2021-03-09,2021-03-23,,,2021-03-23
89,002033,丽江股份,2021-03-09,,,,2021-03-09
90,002054,德美化工,2021-03-09,,,,2021-03-09
91,002139,拓邦股份,2021-03-09,,,,2021-03-09
92,300238,冠昊生物,2021-03-09,,,,2021-03-09
93,300596,利安隆,2021-03-09,,,,2021-03-09
94,300822,贝仕达克,2021-03-09,,,,2021-03-09
