序号,股票代码,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间
1,000509,华塑控股,2022-01-18,,,,2022-01-18
2,002107,沃华医药,2022-01-21,,,,2022-01-21
3,600272,开开实业,2022-01-28,,,,2022-01-28
4,600599,*ST熊猫,2022-01-28,2022-03-01,2022-04-23,,2022-04-23
5,002984,森麒麟,2022-02-15,,,,2022-02-15
6,300390,天华新能,2022-02-17,2022-02-08,,,2022-02-08
7,688020,方邦股份,2022-02-17,,,,2022-02-17
8,603169,兰石重装,2022-02-19,,,,2022-02-19
9,002402,和而泰,2022-02-22,,,,2022-02-22
10,002759,天际股份,2022-02-22,,,,2022-02-22
11,002947,恒铭达,2022-02-22,,,,2022-02-22
12,000798,中水渔业,2022-02-23,2022-02-10,,,2022-02-10
13,688368,晶丰明源,2022-02-24,,,,2022-02-24
14,002014,永新股份,2022-02-25,,,,2022-02-25
15,002644,佛慈制药,2022-02-25,2022-03-16,,,2022-03-16
16,003038,鑫铂股份,2022-02-25,,,,2022-02-25
17,301046,能辉科技,2022-02-25,,,,2022-02-25
18,000972,*ST中基,2022-02-26,2022-03-26,,,2022-03-26
19,002072,凯瑞德,2022-02-26,2022-04-29,,,2022-04-29
20,002138,顺络电子,2022-02-26,,,,2022-02-26
21,002458,益生股份,2022-02-26,,,,2022-02-26
22,002492,恒基达鑫,2022-02-26,2022-03-19,,,2022-03-19
23,002546,新联电子,2022-02-26,,,,2022-02-26
24,300443,金雷股份,2022-02-26,,,,2022-02-26
25,300753,爱朋医疗,2022-02-26,,,,2022-02-26
26,600423,*ST柳化,2022-02-26,,,,2022-02-26
27,600722,金牛化工,2022-02-26,2022-04-16,2022-04-28,,2022-04-28
28,600730,*ST高科,2022-02-26,2022-03-31,,,2022-03-31
29,600749,西藏旅游,2022-02-26,2022-03-15,,,2022-03-15
30,601901,方正证券,2022-02-26,2022-03-31,,,2022-03-31
31,603897,长城科技,2022-02-26,,,,2022-02-26
32,688021,奥福科技,2022-02-26,,,,2022-02-26
33,688192,迪哲医药,2022-02-26,,,,2022-02-26
34,688200,华峰测控,2022-02-26,,,,2022-02-26
35,688598,金博股份,2022-02-26,,,,2022-02-26
36,002379,宏桥控股,2022-02-28,,,,2022-02-28
37,002455,百川股份,2022-02-28,,,,2022-02-28
38,002552,宝鼎科技,2022-02-28,2022-03-10,,,2022-03-10
39,301047,义翘神州,2022-02-28,,,,2022-02-28
40,301071,力量钻石,2022-02-28,,,,2022-02-28
41,301179,泽宇智能,2022-02-28,2022-03-18,,,2022-03-18
42,600821,金开新能,2022-02-28,,,,2022-02-28
43,605499,东鹏饮料,2022-02-28,,,,2022-02-28
44,688100,威胜信息,2022-02-28,,,,2022-02-28
45,688157,松井股份,2022-02-28,,,,2022-02-28
46,688621,阳光诺和,2022-02-28,,,,2022-02-28
47,000068,华控赛格,2022-03-01,2022-03-05,,,2022-03-05
48,000708,中信特钢,2022-03-01,2022-03-11,,,2022-03-11
49,002843,泰嘉股份,2022-03-01,,,,2022-03-01
50,003004,*ST声迅,2022-03-01,2022-03-30,,,2022-03-30
51,300033,同花顺,2022-03-01,,,,2022-03-01
52,300568,星源材质,2022-03-01,,,,2022-03-01
53,300631,久吾高科,2022-03-01,,,,2022-03-01
54,300653,正海生物,2022-03-01,,,,2022-03-01
55,301003,江苏博云,2022-03-01,,,,2022-03-01
56,603458,勘设股份,2022-03-01,2022-03-25,,,2022-03-25
57,605189,富春染织,2022-03-01,,,,2022-03-01
58,000552,甘肃能化,2022-03-02,,,,2022-03-02
59,002388,新亚制程,2022-03-02,2022-03-21,2022-04-28,,2022-04-28
60,600231,凌钢股份,2022-03-02,,,,2022-03-02
61,600255,鑫科材料,2022-03-02,,,,2022-03-02
62,600955,维远股份,2022-03-02,,,,2022-03-02
63,603179,新泉股份,2022-03-02,,,,2022-03-02
64,603330,天洋新材,2022-03-02,2022-03-15,,,2022-03-15
65,688082,盛美上海,2022-03-02,,,,2022-03-02
66,300873,海晨股份,2022-03-03,,,,2022-03-03
67,300890,翔丰华,2022-03-03,,,,2022-03-03
68,603826,坤彩科技,2022-03-03,,,,2022-03-03
69,605136,丽人丽妆,2022-03-03,,,,2022-03-03
70,000408,藏格矿业,2022-03-04,2022-03-11,,,2022-03-11
71,001203,大中矿业,2022-03-04,,,,2022-03-04
72,300496,中科创达,2022-03-04,,,,2022-03-04
73,600557,康缘药业,2022-03-04,,,,2022-03-04
74,603779,威龙股份,2022-03-04,2022-03-30,2022-04-22,2022-04-23,2022-04-23
75,000803,山高环能,2022-03-05,,,,2022-03-05
76,002258,利尔化学,2022-03-05,,,,2022-03-05
77,002760,凤形股份,2022-03-05,2022-04-09,,,2022-04-09
78,002793,罗欣药业,2022-03-05,,,,2022-03-05
79,300146,汤臣倍健,2022-03-05,,,,2022-03-05
80,300281,金明精机,2022-03-05,,,,2022-03-05
81,300834,星辉环材,2022-03-05,,,,2022-03-05
82,600300,维维股份,2022-03-05,,,,2022-03-05
83,600318,新力金融,2022-03-05,2022-03-26,,,2022-03-26
84,600319,亚星化学,2022-03-05,,,,2022-03-05
85,600830,香溢融通,2022-03-05,2022-03-11,,,2022-03-11
86,000688,国城矿业,2022-03-08,,,,2022-03-08
87,002033,丽江股份,2022-03-08,,,,2022-03-08
88,300001,特锐德,2022-03-08,,,,2022-03-08
89,300437,清水源,2022-03-08,,,,2022-03-08
90,300772,运达股份,2022-03-08,,,,2022-03-08
91,300801,泰和科技,2022-03-08,,,,2022-03-08
92,300896,爱美客,2022-03-08,,,,2022-03-08
93,600481,双良节能,2022-03-08,,,,2022-03-08
94,600681,百川能源,2022-03-08,,,,2022-03-08
95,600733,北汽蓝谷,2022-03-08,2022-03-26,,,2022-03-26
96,000063,中兴通讯,2022-03-09,,,,2022-03-09
97,000586,汇源通信,2022-03-09,,,,2022-03-09
98,300692,中赋科技,2022-03-09,2022-03-02,,,2022-03-02
99,603199,九华旅游,2022-03-09,2022-03-29,,,2022-03-29
100,000001,平安银行,2022-03-10,,,,2022-03-10
101,000026,飞亚达,2022-03-10,,,,2022-03-10
102,000707,双环科技,2022-03-10,,,,2022-03-10
103,000739,普洛药业,2022-03-10,,,,2022-03-10
104,001205,盛航股份,2022-03-10,,,,2022-03-10
105,002273,水晶光电,2022-03-10,,,,2022-03-10
106,002865,钧达股份,2022-03-10,2022-03-18,,,2022-03-18
107,300304,云意电气,2022-03-10,,,,2022-03-10
108,600063,皖维高新,2022-03-10,,,,2022-03-10
109,600552,凯盛科技,2022-03-10,,,,2022-03-10
110,600603,广汇物流,2022-03-10,,,,2022-03-10
111,600989,宝丰能源,2022-03-10,,,,2022-03-10
112,603018,华设集团,2022-03-10,2022-03-15,,,2022-03-15
113,603025,大豪科技,2022-03-10,,,,2022-03-10
114,603535,嘉诚国际,2022-03-10,,,,2022-03-10
115,603601,再升科技,2022-03-10,,,,2022-03-10
116,603860,中公高科,2022-03-10,,,,2022-03-10
