序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1,600078,澄星股份,营业收入,"预计2021年1-12月营业收入:326,600万元至337,500万元。",3320500000.0,5.865,"1、前次预告时,公司管理层判断,依据江苏资产管理有限公司于2021年12月31日出具的《债权人说明》,在未来很可能得到履行,根据《企业会计准则第13号——或有事项》应用指南,第二条中很可能对应的概率区间为大于50%但小于或等于95%,公司按区间中值72.50%对上一年度全额计提的澄星集团及其相关方非经营性占用公司资金本息合计余额217,760.13万元进行冲回。期后,公司管理人已于2022年4月15日收到了江苏资产支付的2,256,191,574.65元现金款项,收到该笔款项后,公司于2021年度财务报表中转回原计提的其他应收款坏账准备2,124,922,681.47元,转回原计提的利息坏账准备52,678,629.57元,共计转回2,177,601,311.04元,而非原来预计的217,760.13万元的72.5%。2、2021年1-4月公司及子公司云南宣威磷电有限责任公司因安全生产、库存清理等原因,需要处理黄磷,经控股股东(澄星集团)协调后,安排将黄磷处置给云南东平磷业有限公司(以下简称“云南东平”),但云南东平一直未能支付上述货款,于期末形成应收款项,含税金额229,311,294.00元。截止资产负债表日,公司因预期能在期后收回上述货款,故没有计提坏账;后经公司重新判断,认为该笔应收账款是由控股股东及其关联方结欠云南东平大量款项所致,应视同为大股东澄星集团对上市公司的资金占用,故全额补提坏账229,311,294.00元。因上述原因,导致2021年年度归属于上市公司股东的扣除非经常性损益的净利润从原先预计的正值7,920.00万元至11,781.00万元,更正为负值-11,650.00万元至-12,800.00万元。",略增,3136548500.0,2022-04-30
2,600078,澄星股份,归属于上市公司股东的净利润,"预计2021年1-12月归属于上市公司股东的净利润盈利:195,000万元至215,500万元。",2052500000.0,192.625,"1、前次预告时,公司管理层判断,依据江苏资产管理有限公司于2021年12月31日出具的《债权人说明》,在未来很可能得到履行,根据《企业会计准则第13号——或有事项》应用指南,第二条中很可能对应的概率区间为大于50%但小于或等于95%,公司按区间中值72.50%对上一年度全额计提的澄星集团及其相关方非经营性占用公司资金本息合计余额217,760.13万元进行冲回。期后,公司管理人已于2022年4月15日收到了江苏资产支付的2,256,191,574.65元现金款项,收到该笔款项后,公司于2021年度财务报表中转回原计提的其他应收款坏账准备2,124,922,681.47元,转回原计提的利息坏账准备52,678,629.57元,共计转回2,177,601,311.04元,而非原来预计的217,760.13万元的72.5%。2、2021年1-4月公司及子公司云南宣威磷电有限责任公司因安全生产、库存清理等原因,需要处理黄磷,经控股股东(澄星集团)协调后,安排将黄磷处置给云南东平磷业有限公司(以下简称“云南东平”),但云南东平一直未能支付上述货款,于期末形成应收款项,含税金额229,311,294.00元。截止资产负债表日,公司因预期能在期后收回上述货款,故没有计提坏账;后经公司重新判断,认为该笔应收账款是由控股股东及其关联方结欠云南东平大量款项所致,应视同为大股东澄星集团对上市公司的资金占用,故全额补提坏账229,311,294.00元。因上述原因,导致2021年年度归属于上市公司股东的扣除非经常性损益的净利润从原先预计的正值7,920.00万元至11,781.00万元,更正为负值-11,650.00万元至-12,800.00万元。",扭亏,-2215861000.0,2022-04-30
3,600078,澄星股份,扣除非经常性损益后的净利润,"预计2021年1-12月扣除非经常性损益后的净利润亏损:11,650万元至12,800万元。",-122250000.0,94.47,"1、前次预告时,公司管理层判断,依据江苏资产管理有限公司于2021年12月31日出具的《债权人说明》,在未来很可能得到履行,根据《企业会计准则第13号——或有事项》应用指南,第二条中很可能对应的概率区间为大于50%但小于或等于95%,公司按区间中值72.50%对上一年度全额计提的澄星集团及其相关方非经营性占用公司资金本息合计余额217,760.13万元进行冲回。期后,公司管理人已于2022年4月15日收到了江苏资产支付的2,256,191,574.65元现金款项,收到该笔款项后,公司于2021年度财务报表中转回原计提的其他应收款坏账准备2,124,922,681.47元,转回原计提的利息坏账准备52,678,629.57元,共计转回2,177,601,311.04元,而非原来预计的217,760.13万元的72.5%。2、2021年1-4月公司及子公司云南宣威磷电有限责任公司因安全生产、库存清理等原因,需要处理黄磷,经控股股东(澄星集团)协调后,安排将黄磷处置给云南东平磷业有限公司(以下简称“云南东平”),但云南东平一直未能支付上述货款,于期末形成应收款项,含税金额229,311,294.00元。截止资产负债表日,公司因预期能在期后收回上述货款,故没有计提坏账;后经公司重新判断,认为该笔应收账款是由控股股东及其关联方结欠云南东平大量款项所致,应视同为大股东澄星集团对上市公司的资金占用,故全额补提坏账229,311,294.00元。因上述原因,导致2021年年度归属于上市公司股东的扣除非经常性损益的净利润从原先预计的正值7,920.00万元至11,781.00万元,更正为负值-11,650.00万元至-12,800.00万元。",减亏,-2211308600.0,2022-04-30
4,600078,澄星股份,每股收益,预计2021年1-12月每股收益盈利:2.85元至3.1元。,2.975,,"1、前次预告时,公司管理层判断,依据江苏资产管理有限公司于2021年12月31日出具的《债权人说明》,在未来很可能得到履行,根据《企业会计准则第13号——或有事项》应用指南,第二条中很可能对应的概率区间为大于50%但小于或等于95%,公司按区间中值72.50%对上一年度全额计提的澄星集团及其相关方非经营性占用公司资金本息合计余额217,760.13万元进行冲回。期后,公司管理人已于2022年4月15日收到了江苏资产支付的2,256,191,574.65元现金款项,收到该笔款项后,公司于2021年度财务报表中转回原计提的其他应收款坏账准备2,124,922,681.47元,转回原计提的利息坏账准备52,678,629.57元,共计转回2,177,601,311.04元,而非原来预计的217,760.13万元的72.5%。2、2021年1-4月公司及子公司云南宣威磷电有限责任公司因安全生产、库存清理等原因,需要处理黄磷,经控股股东(澄星集团)协调后,安排将黄磷处置给云南东平磷业有限公司(以下简称“云南东平”),但云南东平一直未能支付上述货款,于期末形成应收款项,含税金额229,311,294.00元。截止资产负债表日,公司因预期能在期后收回上述货款,故没有计提坏账;后经公司重新判断,认为该笔应收账款是由控股股东及其关联方结欠云南东平大量款项所致,应视同为大股东澄星集团对上市公司的资金占用,故全额补提坏账229,311,294.00元。因上述原因,导致2021年年度归属于上市公司股东的扣除非经常性损益的净利润从原先预计的正值7,920.00万元至11,781.00万元,更正为负值-11,650.00万元至-12,800.00万元。",扭亏,-3.34,2022-04-30
5,600078,澄星股份,扣除后营业收入,"预计2021年1-12月扣除后营业收入:308,250万元至311,800万元。",3100250000.0,,"1、前次预告时,公司管理层判断,依据江苏资产管理有限公司于2021年12月31日出具的《债权人说明》,在未来很可能得到履行,根据《企业会计准则第13号——或有事项》应用指南,第二条中很可能对应的概率区间为大于50%但小于或等于95%,公司按区间中值72.50%对上一年度全额计提的澄星集团及其相关方非经营性占用公司资金本息合计余额217,760.13万元进行冲回。期后,公司管理人已于2022年4月15日收到了江苏资产支付的2,256,191,574.65元现金款项,收到该笔款项后,公司于2021年度财务报表中转回原计提的其他应收款坏账准备2,124,922,681.47元,转回原计提的利息坏账准备52,678,629.57元,共计转回2,177,601,311.04元,而非原来预计的217,760.13万元的72.5%。2、2021年1-4月公司及子公司云南宣威磷电有限责任公司因安全生产、库存清理等原因,需要处理黄磷,经控股股东(澄星集团)协调后,安排将黄磷处置给云南东平磷业有限公司(以下简称“云南东平”),但云南东平一直未能支付上述货款,于期末形成应收款项,含税金额229,311,294.00元。截止资产负债表日,公司因预期能在期后收回上述货款,故没有计提坏账;后经公司重新判断,认为该笔应收账款是由控股股东及其关联方结欠云南东平大量款项所致,应视同为大股东澄星集团对上市公司的资金占用,故全额补提坏账229,311,294.00元。因上述原因,导致2021年年度归属于上市公司股东的扣除非经常性损益的净利润从原先预计的正值7,920.00万元至11,781.00万元,更正为负值-11,650.00万元至-12,800.00万元。",续盈,3114224500.0,2022-04-30
6,300736,百邦科技,扣除非经常性损益后的净利润,预计2021年1-12月扣除非经常性损益后的净利润盈利:10万元至100万元。,550000.0,100.795,"本公司业绩预告和实际经过审计的报告差异来源于递延所得税资产确认,导致归属于上市公司股东的净利润和扣除非经常性损益后的净利润与业绩预告出现偏差。",扭亏,-69142700.0,2022-04-30
7,300736,百邦科技,归属于上市公司股东的净利润,预计2021年1-12月归属于上市公司股东的净利润盈利:650万元至750万元。,7000000.0,108.0,"本公司业绩预告和实际经过审计的报告差异来源于递延所得税资产确认,导致归属于上市公司股东的净利润和扣除非经常性损益后的净利润与业绩预告出现偏差。",扭亏,-87497100.0,2022-04-30
8,002094,青岛金王,每股收益,预计2021年1-12月每股收益盈利:0.024元。,0.024,,"会计师事务所在本报告期财务报表审计过程中,对下属合资公司部分应收款项单项计提了减值准备,另外对流通库存按照单个存货成本高于可变现净值的差额计提了存货跌价准备,同时公司预告的归属于上市公司股东的净利润、扣除非经常性损益后的净利润基数本身较小,计提后超出了公司预告范围。",扭亏,-0.62,2022-04-30
9,002094,青岛金王,归属于上市公司股东的净利润,"预计2021年1-12月归属于上市公司股东的净利润盈利:1,634.2万元。",16342000.0,103.81,"会计师事务所在本报告期财务报表审计过程中,对下属合资公司部分应收款项单项计提了减值准备,另外对流通库存按照单个存货成本高于可变现净值的差额计提了存货跌价准备,同时公司预告的归属于上市公司股东的净利润、扣除非经常性损益后的净利润基数本身较小,计提后超出了公司预告范围。",扭亏,-428744800.0,2022-04-30
10,002094,青岛金王,扣除非经常性损益后的净利润,预计2021年1-12月扣除非经常性损益后的净利润盈利:860.4万元。,8604000.0,101.97,"会计师事务所在本报告期财务报表审计过程中,对下属合资公司部分应收款项单项计提了减值准备,另外对流通库存按照单个存货成本高于可变现净值的差额计提了存货跌价准备,同时公司预告的归属于上市公司股东的净利润、扣除非经常性损益后的净利润基数本身较小,计提后超出了公司预告范围。",扭亏,-436169400.0,2022-04-30
