序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1,300886,华业香料,营业收入,"预计2019年1-12月营业收入:21,100万元,同比下降18.16%。",211000000.0,-18.16,"随着公司2019年10月底锅炉改造结束恢复生产,公司的产销量逐渐恢复,公司2019年度预计可实现营业收入2.11亿元,较2018年度下降18.16%,预计可实现扣除非经常性损益后归属于公司普通股股东的净利润0.37亿元,较2018年度下降33.97%;锅炉改造结束恢复生产后,业绩下滑趋势预计可实现扭转。",略减,258092322.29,2020-07-22
2,300886,华业香料,扣除非经常性损益后的净利润,"预计2019年1-12月扣除非经常性损益后的净利润盈利:3700万元,同比下降33.97%。",37000000.0,-33.97,"随着公司2019年10月底锅炉改造结束恢复生产,公司的产销量逐渐恢复,公司2019年度预计可实现营业收入2.11亿元,较2018年度下降18.16%,预计可实现扣除非经常性损益后归属于公司普通股股东的净利润0.37亿元,较2018年度下降33.97%;锅炉改造结束恢复生产后,业绩下滑趋势预计可实现扭转。",略减,56216160.3,2020-07-22
3,600189,泉阳泉,扣除非经常性损益后的净利润,预计2019年1-12月扣除非经常性损益后的净利润亏损:156000万元左右。,-1560000000.0,-1708.06,"(一)业绩预告更正原因1、公司控股股东中国吉林森林工业集团有限责任公司(以下简称“森工集团”)于2020年5月18日收到长春市中级人民法院送达的(2020)吉01破申45号《民事裁定书》及(2020)吉01破申45号《决定书》。根据上述《民事裁定书》、《决定书》,长春中院裁定受理大连三林木业有限公司提出的对森工集团进行司法重整的申请。控股股东进入司法重整导致公司联营企业对森工集团的大额债权未来可回收性存在重大风险,联营企业根据《企业会计准则第22号—金融工具确认和计量》计提大额坏账准备。根据中审众环会计师事务所(特殊普通合伙)吉林分所对联营企业出具的审计报告,上述事项导致吉林森工人造板集团有限责任公司等联营企业当期资产减值损失32.2亿元。2、联营企业年审会计师在审计过程中发现部分位于疫情严重区域的联营企业资产受2019年发布的国家天然林保护修复政策影响,出现减值迹象,因疫情严重无法进行现场确认。联营企业年审相关中介机构于企业所在地疫情减轻后开展现场工作,对相关资产进行了减值测试,根据减值测试结果计提了资产减值准备。根据中审众环会计师事务所(特殊普通合伙)吉林分所对联营企业出具的审计报告,上述事项导致吉林森工人造板集团有限责任公司等联营企业当期资产减值损失28.4亿元。3、公司当期对联营企业相关长期股权投资以权益法确认亏损16.4亿元,其业绩变动导致公司当期对其确认的投资亏损较前次业绩预告增加12亿元。(二)由于新冠疫情严重影响公司控股股东中国吉林森林工业集团有限责任公司及其下属子公司审计工作进程,公司财务部门基于近日收到的联营企业审计报告、上述重大事项及自身专业判断进行初步核算。公司本次预计业绩未经注册会计师审计。",增亏,-86280300.0,2020-06-24
4,600189,泉阳泉,归属于上市公司股东的净利润,预计2019年1-12月归属于上市公司股东的净利润亏损:148000万元左右。,-1480000000.0,-3625.63,"(一)业绩预告更正原因1、公司控股股东中国吉林森林工业集团有限责任公司(以下简称“森工集团”)于2020年5月18日收到长春市中级人民法院送达的(2020)吉01破申45号《民事裁定书》及(2020)吉01破申45号《决定书》。根据上述《民事裁定书》、《决定书》,长春中院裁定受理大连三林木业有限公司提出的对森工集团进行司法重整的申请。控股股东进入司法重整导致公司联营企业对森工集团的大额债权未来可回收性存在重大风险,联营企业根据《企业会计准则第22号—金融工具确认和计量》计提大额坏账准备。根据中审众环会计师事务所(特殊普通合伙)吉林分所对联营企业出具的审计报告,上述事项导致吉林森工人造板集团有限责任公司等联营企业当期资产减值损失32.2亿元。2、联营企业年审会计师在审计过程中发现部分位于疫情严重区域的联营企业资产受2019年发布的国家天然林保护修复政策影响,出现减值迹象,因疫情严重无法进行现场确认。联营企业年审相关中介机构于企业所在地疫情减轻后开展现场工作,对相关资产进行了减值测试,根据减值测试结果计提了资产减值准备。根据中审众环会计师事务所(特殊普通合伙)吉林分所对联营企业出具的审计报告,上述事项导致吉林森工人造板集团有限责任公司等联营企业当期资产减值损失28.4亿元。3、公司当期对联营企业相关长期股权投资以权益法确认亏损16.4亿元,其业绩变动导致公司当期对其确认的投资亏损较前次业绩预告增加12亿元。(二)由于新冠疫情严重影响公司控股股东中国吉林森林工业集团有限责任公司及其下属子公司审计工作进程,公司财务部门基于近日收到的联营企业审计报告、上述重大事项及自身专业判断进行初步核算。公司本次预计业绩未经注册会计师审计。",首亏,41978300.0,2020-06-24
5,000980,众泰汽车,每股收益,预计2019年1-12月每股收益亏损:5.33元至5.67元。,-5.5,,"1、本报告期,受宏观经济形势的影响,汽车行业整体景气度不高,公司汽车销量大幅下降,没有达到预期,根据谨慎性原则,拟计提大额商誉减值准备,预计计提商誉减值准备约为60亿元左右,具体金额尚待相关机构进行评估后确定。2、本报告期由于销量大幅下降,公司营业收入大幅下降,经营成本相对上升,造成经营亏损较大。因上述原因导致公司2019年度业绩同比有大幅度下降。",首亏,0.39,2020-06-19
6,000980,众泰汽车,归属于上市公司股东的净利润,"预计2019年1-12月归属于上市公司股东的净利润亏损:约1,080,000万元至1,150,000万元,比上年同期下降:1450%-1538%",-11150000000.0,-1494.0,"1、本报告期,受宏观经济形势的影响,汽车行业整体景气度不高,公司汽车销量大幅下降,没有达到预期,根据谨慎性原则,拟计提大额商誉减值准备,预计计提商誉减值准备约为60亿元左右,具体金额尚待相关机构进行评估后确定。2、本报告期由于销量大幅下降,公司营业收入大幅下降,经营成本相对上升,造成经营亏损较大。因上述原因导致公司2019年度业绩同比有大幅度下降。",首亏,799886800.0,2020-06-19
7,603085,天成自控,归属于上市公司股东的净利润,"预计2019年1-12月归属于上市公司股东的净利润亏损:52,000万元至54,000万元。",-530000000.0,-1550.225,"(一)英国子公司商誉减值预计为3.52亿元。2020年1月,经公司初步评估,英国子公司商誉减值预计1.35亿—1.8亿元。2020年4月,因疫情影响,会计师无法到达英国子公司进行现场审计取证,经2020年4月17日召开的公司第三届董事会第三十一次会议审议通过,全体董事同意延期披露2019年经审计年度报告。近日,通过年审会计师联合英国子公司当地年审事务所对英国子公司进行审计,以及聘请评估机构对商誉所在的资产组进行评估,经公司管理层与评估机构、审计机构充分沟通及评估,预计英国公司需计提商誉减值总额约3.52亿元。(二)英国子公司2019年度经营亏损预计为2,600万元。根据未来相关销售情况,英国子公司对相关的存货及产品的研发支出计提相应的减值准备。",首亏,36546000.0,2020-06-17
8,603085,天成自控,扣除非经常性损益后的净利润,"预计2019年1-12月扣除非经常性损益后的净利润亏损:53,000万元至55,000万元。",-540000000.0,-2808.33,"(一)英国子公司商誉减值预计为3.52亿元。2020年1月,经公司初步评估,英国子公司商誉减值预计1.35亿—1.8亿元。2020年4月,因疫情影响,会计师无法到达英国子公司进行现场审计取证,经2020年4月17日召开的公司第三届董事会第三十一次会议审议通过,全体董事同意延期披露2019年经审计年度报告。近日,通过年审会计师联合英国子公司当地年审事务所对英国子公司进行审计,以及聘请评估机构对商誉所在的资产组进行评估,经公司管理层与评估机构、审计机构充分沟通及评估,预计英国公司需计提商誉减值总额约3.52亿元。(二)英国子公司2019年度经营亏损预计为2,600万元。根据未来相关销售情况,英国子公司对相关的存货及产品的研发支出计提相应的减值准备。",首亏,19938483.86,2020-06-17
9,600518,康美药业,扣除非经常性损益后的净利润,预计2019年1-12月扣除非经常性损益后的净利润亏损:约483100万元。,-4831000000.0,-11602.38,"(一)2020年4月21日,公司披露了《康美药业关于延期披露2019年经审计年度报告的公告》,公司2019年经审计年度报告的披露日期延期至2020年6月18日。2020年4月30日,公司披露了《2019年度主要经营业绩报告》,公司2019年度实现归属于上市公司股东的净利润为-36.48亿元,扣除非经常性损益事项后,2019年度归属于上市公司股东的净利润为-38.46亿元。(二)2019年以来,公司深入实施“聚焦主业,发展实业”的发展战略,优化业务结构,收缩不具备市场竞争力的业务,调整销售策略,受营业成本、跨期费用及其他调整事项影响,导致营业利润减少约3.69亿元。(三)公司按照会计准则的要求,对期末资产进行减值测试,根据第三方专业评估机构初步评估结果,对固定资产、在建工程、投资性房地产、存货的减值本次预测比前期预测金额增加约5.98亿元。",首亏,42000000.0,2020-06-04
10,600518,康美药业,归属于上市公司股东的净利润,预计2019年1-12月归属于上市公司股东的净利润亏损:约461500万元。,-4615000000.0,-1311.29,"(一)2020年4月21日,公司披露了《康美药业关于延期披露2019年经审计年度报告的公告》,公司2019年经审计年度报告的披露日期延期至2020年6月18日。2020年4月30日,公司披露了《2019年度主要经营业绩报告》,公司2019年度实现归属于上市公司股东的净利润为-36.48亿元,扣除非经常性损益事项后,2019年度归属于上市公司股东的净利润为-38.46亿元。(二)2019年以来,公司深入实施“聚焦主业,发展实业”的发展战略,优化业务结构,收缩不具备市场竞争力的业务,调整销售策略,受营业成本、跨期费用及其他调整事项影响,导致营业利润减少约3.69亿元。(三)公司按照会计准则的要求,对期末资产进行减值测试,根据第三方专业评估机构初步评估结果,对固定资产、在建工程、投资性房地产、存货的减值本次预测比前期预测金额增加约5.98亿元。",首亏,381000000.0,2020-06-04
