序号,股票代码,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间
1,002778,中晟高科,2020-01-17,2020-04-17,,,2020-04-17
2,300617,安靠智电,2020-01-17,,,,2020-01-17
3,002099,海翔药业,2020-01-23,,,,2020-01-23
4,002315,焦点科技,2020-02-08,,,,2020-02-08
5,603822,ST嘉澳,2020-02-10,2020-02-18,,,2020-02-18
6,603477,巨星农牧,2020-02-11,2020-02-28,,,2020-02-28
7,600753,*ST海钦,2020-02-13,2020-02-28,2020-03-28,,2020-03-28
8,000001,平安银行,2020-02-14,,,,2020-02-14
9,300401,花园生物,2020-02-15,2020-02-28,,,2020-02-28
10,600319,亚星化学,2020-02-15,2020-04-29,,,2020-04-29
11,000628,高新发展,2020-02-18,2020-02-29,,,2020-02-29
12,601020,华钰矿业,2020-02-18,2020-04-25,,,2020-04-25
13,600315,上海家化,2020-02-19,2020-02-20,,,2020-02-20
14,000534,万泽股份,2020-02-20,2020-02-29,,,2020-02-29
15,002458,益生股份,2020-02-20,,,,2020-02-20
16,600722,金牛化工,2020-02-20,2020-03-05,,,2020-03-05
17,002597,金禾实业,2020-02-21,2020-03-06,,,2020-03-06
18,300496,中科创达,2020-02-21,2020-02-27,,,2020-02-27
19,300636,同和药业,2020-02-21,2020-04-22,2020-03-07,,2020-03-07
20,601318,中国平安,2020-02-21,,,,2020-02-21
21,600051,宁波联合,2020-02-22,2020-03-17,,,2020-03-17
22,601619,嘉泽新能,2020-02-22,2020-03-10,,,2020-03-10
23,603677,奇精机械,2020-02-22,,,,2020-02-22
24,603331,百达精工,2020-02-24,2020-03-30,,,2020-03-30
25,300033,同花顺,2020-02-25,,,,2020-02-25
26,603187,海容冷链,2020-02-25,2020-03-10,,,2020-03-10
27,000670,盈方微,2020-02-26,2020-03-20,,,2020-03-20
28,000707,双环科技,2020-02-26,2020-04-10,2020-04-28,,2020-04-28
29,600877,电科芯片,2020-02-26,2020-03-31,2020-04-11,,2020-04-11
30,601015,陕西黑猫,2020-02-26,2020-03-26,,,2020-03-26
31,002714,牧原股份,2020-02-27,,,,2020-02-27
32,002895,川恒股份,2020-02-27,2020-03-27,,,2020-03-27
33,600721,百花医药,2020-02-27,2020-04-16,2020-04-22,,2020-04-22
34,603881,数据港,2020-02-27,2020-03-14,,,2020-03-14
35,000401,金隅冀东,2020-02-28,2020-03-19,,,2020-03-19
36,000708,中信特钢,2020-02-28,2020-03-06,,,2020-03-06
37,002014,永新股份,2020-02-28,,,,2020-02-28
38,002072,凯瑞德,2020-02-28,2020-04-30,,,2020-04-30
39,002134,天津普林,2020-02-28,,,,2020-02-28
40,002162,悦心健康,2020-02-28,2020-03-28,,,2020-03-28
41,002211,ST宏达,2020-02-28,2020-03-27,2020-04-07,,2020-04-07
42,002654,万润科技,2020-02-28,2020-03-31,2020-04-14,2020-04-27,2020-04-27
43,002838,道恩股份,2020-02-28,2020-03-27,2020-04-09,,2020-04-09
44,002845,同兴达,2020-02-28,2020-03-18,,,2020-03-18
45,300056,中创环保,2020-02-28,2020-03-20,2020-04-21,2020-04-22,2020-04-22
46,300146,汤臣倍健,2020-02-28,2020-03-13,,,2020-03-13
47,300346,南大光电,2020-02-28,2020-04-29,,,2020-04-29
48,300398,飞凯材料,2020-02-28,2020-03-27,2020-03-24,,2020-03-24
49,300468,四方精创,2020-02-28,2020-03-31,,,2020-03-31
50,300618,寒锐钴业,2020-02-28,2020-03-31,2020-03-26,,2020-03-26
51,300620,光库科技,2020-02-28,,,,2020-02-28
52,300647,超频三,2020-02-28,2020-03-31,,,2020-03-31
53,600234,科新发展,2020-02-28,2020-03-31,,,2020-03-31
54,600507,方大特钢,2020-02-28,,,,2020-02-28
55,600785,新华百货,2020-02-28,2020-03-20,,,2020-03-20
56,600868,梅雁吉祥,2020-02-28,,,,2020-02-28
57,603335,迪生力,2020-02-28,2020-03-13,,,2020-03-13
58,603558,健盛集团,2020-02-28,2020-03-11,,,2020-03-11
59,603668,天马科技,2020-02-28,,,,2020-02-28
60,688018,乐鑫科技,2020-02-28,2020-03-10,,,2020-03-10
61,688181,八亿时空,2020-02-28,2020-04-21,,,2020-04-21
62,000048,京基智农,2020-02-29,2020-04-30,,,2020-04-30
63,000060,中金岭南,2020-02-29,2020-03-10,,,2020-03-10
64,002054,德美化工,2020-02-29,,,,2020-02-29
65,002076,*ST星光,2020-02-29,2020-03-31,2020-04-29,,2020-04-29
66,002084,海鸥住工,2020-02-29,2020-03-31,,,2020-03-31
67,002136,安纳达,2020-02-29,,,,2020-02-29
68,002138,顺络电子,2020-02-29,2020-03-30,,,2020-03-17
69,002245,蔚蓝锂芯,2020-02-29,,,,2020-02-29
70,002258,利尔化学,2020-02-29,2020-03-12,,,2020-03-12
71,002296,辉煌科技,2020-02-29,2020-04-10,,,2020-04-10
72,002492,恒基达鑫,2020-02-29,2020-03-24,,,2020-03-24
73,002847,盐津铺子,2020-02-29,2020-03-04,2020-03-07,,2020-03-07
74,300030,阳普医疗,2020-02-29,2020-03-07,,,2020-03-07
75,300118,东方日升,2020-02-29,2020-03-21,2020-04-18,,2020-04-18
76,300121,阳谷华泰,2020-02-29,,,,2020-02-29
77,300193,佳士科技,2020-02-29,,,,2020-02-29
78,300231,银信科技,2020-02-29,,,,2020-02-29
79,300234,开尔新材,2020-02-29,2020-03-31,2020-03-24,,2020-03-24
80,300286,安科瑞,2020-02-29,2020-03-13,,,2020-03-13
81,300322,硕贝德,2020-02-29,,,,2020-02-29
82,300403,汉宇集团,2020-02-29,,,,2020-02-29
83,300443,金雷股份,2020-02-29,,,,2020-02-29
84,300772,运达股份,2020-02-29,2020-03-20,,,2020-03-20
85,600130,波导股份,2020-02-29,2020-03-17,,,2020-03-17
86,600282,南钢股份,2020-02-29,2020-03-25,,,2020-03-25
87,600605,汇通能源,2020-02-29,,,,2020-02-29
88,600990,四创电子,2020-02-29,2020-04-25,,,2020-04-25
89,002167,东方锆业,2020-03-03,2020-03-25,2020-03-24,,2020-03-24
90,002601,龙佰集团,2020-03-03,2020-03-10,2020-03-25,,2020-03-25
91,300119,瑞普生物,2020-03-03,2020-04-02,,,2020-04-02
92,300632,光莆股份,2020-03-03,2020-03-10,,,2020-03-10
93,600202,哈空调,2020-03-03,,,,2020-03-03
94,600276,恒瑞医药,2020-03-03,2020-03-23,,,2020-03-23
95,600577,精达股份,2020-03-03,2020-03-31,,,2020-03-31
96,603077,和邦生物,2020-03-03,2020-04-22,,,2020-04-22
97,002320,海峡股份,2020-03-05,,,,2020-03-05
98,300727,润禾材料,2020-03-05,,,,2020-03-05
99,600116,三峡水利,2020-03-05,2020-03-07,,,2020-03-07
100,000045,深纺织A,2020-03-06,2020-03-14,,,2020-03-14
101,000514,渝开发,2020-03-06,2020-03-26,,,2020-03-26
102,000717,中南股份,2020-03-06,2020-03-31,,,2020-03-31
103,000987,越秀资本,2020-03-06,2020-02-29,,,2020-02-29
104,002324,普利特,2020-03-06,2020-03-21,,,2020-03-21
105,002572,索菲亚,2020-03-06,2020-03-24,,,2020-03-24
106,002756,永兴材料,2020-03-06,2020-03-20,,,2020-03-20
107,002880,卫光生物,2020-03-06,,,,2020-03-06
108,300406,九强生物,2020-03-06,2020-03-26,,,2020-03-26
109,300451,创业慧康,2020-03-06,2020-03-26,,,2020-03-26
110,300686,智动力,2020-03-06,,,,2020-03-06
111,300721,怡达股份,2020-03-06,2020-03-25,,,2020-03-25
112,300752,隆利科技,2020-03-06,2020-03-14,,,2020-03-14
