序号,股票代码,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间
113,300795,米奥会展,2020-03-06,2020-03-20,,,2020-03-20
114,600212,绿能慧充,2020-03-06,2020-04-10,2020-04-24,,2020-04-24
115,600419,天润乳业,2020-03-06,2020-04-24,,,2020-04-24
116,603186,华正新材,2020-03-06,2020-03-12,,,2020-03-12
117,603360,百傲化学,2020-03-06,2020-03-20,,,2020-03-20
118,603393,新天然气,2020-03-06,2020-04-22,2020-03-31,,2020-03-31
119,603712,七一二,2020-03-06,2020-03-18,,,2020-03-18
120,603813,*ST原尚,2020-03-06,2020-03-31,,,2020-03-31
121,000029,深深房A,2020-03-07,2020-03-14,,,2020-03-14
122,000888,峨眉山A,2020-03-07,2020-04-23,,,2020-04-23
123,000915,华特达因,2020-03-07,,,,2020-03-07
124,002521,齐峰新材,2020-03-07,,,,2020-03-07
125,002865,钧达股份,2020-03-07,2020-03-26,,,2020-03-26
126,300196,长海股份,2020-03-07,2020-04-08,,,2020-04-08
127,600067,冠城新材,2020-03-07,2020-03-25,,,2020-03-25
128,600113,浙江东日,2020-03-07,2020-04-18,,,2020-04-18
129,600120,浙江东方,2020-03-07,2020-03-28,,,2020-03-28
130,600456,宝钛股份,2020-03-07,2020-03-20,,,2020-03-20
131,600603,广汇物流,2020-03-07,2020-03-11,,,2020-03-11
132,600812,华北制药,2020-03-07,2020-03-31,,,2020-03-31
133,601127,赛力斯,2020-03-07,2020-04-28,,,2020-04-28
134,603333,尚纬股份,2020-03-07,2020-04-25,,,2020-04-25
135,603615,茶花股份,2020-03-07,2020-04-04,2020-04-07,,2020-04-07
136,002181,粤传媒,2020-03-09,,,,2020-03-09
137,002723,小崧股份,2020-03-09,2020-04-03,,,2020-04-03
138,600301,华锡有色,2020-03-09,2020-03-20,,,2020-03-20
139,002067,景兴纸业,2020-03-10,2020-04-03,,,2020-04-03
140,002117,东港股份,2020-03-10,2020-04-14,,,2020-04-14
141,002312,川发龙蟒,2020-03-10,2020-03-31,,,2020-03-31
142,002593,日上集团,2020-03-10,2020-04-07,,,2020-04-07
143,002607,中公教育,2020-03-10,,,,2020-03-10
144,002736,国信证券,2020-03-10,2020-03-20,,,2020-03-20
145,002777,久远银海,2020-03-10,2020-04-27,,,2020-04-27
146,002961,瑞达期货,2020-03-10,,,,2020-03-10
147,300005,探路者,2020-03-10,2020-03-20,,,2020-03-20
148,300183,东软载波,2020-03-10,2020-03-31,,,2020-03-31
149,300211,*ST亿通,2020-03-10,,,,2020-03-10
150,300254,仟源医药,2020-03-10,2020-04-28,,,2020-04-28
151,300436,广生堂,2020-03-10,2020-03-26,,,2020-03-26
152,300532,今天国际,2020-03-10,2020-03-31,,,2020-03-31
153,300554,三超新材,2020-03-10,2020-03-23,,,2020-03-23
154,600119,*ST长投,2020-03-10,2020-03-28,2020-04-11,,2020-04-11
155,600370,*ST三房,2020-03-10,,,,2020-03-10
156,600477,杭萧钢构,2020-03-10,,,,2020-03-10
157,600731,湖南海利,2020-03-10,2020-04-07,,,2020-04-07
158,600732,爱旭股份,2020-03-10,2020-02-26,,,2020-02-26
159,600814,杭州解百,2020-03-10,2020-04-02,,,2020-04-02
160,600817,宇通重工,2020-03-10,,,,2020-03-10
161,603318,水发燃气,2020-03-10,2020-03-26,,,2020-03-26
162,603617,君禾股份,2020-03-10,2020-03-31,,,2020-03-31
163,000532,华金资本,2020-03-11,2020-03-25,,,2020-03-25
164,000688,国城矿业,2020-03-11,2020-04-10,,,2020-04-10
165,002225,濮耐股份,2020-03-11,2020-03-25,,,2020-03-25
166,002243,力合科创,2020-03-11,2020-03-25,,,2020-03-25
167,002436,兴森科技,2020-03-11,2020-03-31,,,2020-03-31
168,300522,世名科技,2020-03-11,2020-04-03,,,2020-04-03
169,300577,开润股份,2020-03-11,2020-04-20,,,2020-04-20
170,600156,华升股份,2020-03-11,2020-04-10,,,2020-04-10
171,600386,北巴传媒,2020-03-11,2020-04-10,,,2020-04-10
172,600433,冠豪高新,2020-03-11,,,,2020-03-11
173,600963,岳阳林纸,2020-03-11,,,,2020-03-11
174,000026,飞亚达,2020-03-12,2020-03-20,,,2020-03-20
175,000600,建投能源,2020-03-12,2020-03-24,,,2020-03-24
176,000739,普洛药业,2020-03-12,,,,2020-03-12
177,000897,津滨发展,2020-03-12,,,,2020-03-12
178,002056,横店东磁,2020-03-12,,,,2020-03-12
179,002916,深南电路,2020-03-12,2020-03-20,,,2020-03-20
180,300016,北陆药业,2020-03-12,,,,2020-03-12
181,300681,英搏尔,2020-03-12,2020-03-31,,,2020-03-31
182,300692,中赋科技,2020-03-12,2020-04-18,,,2020-04-18
183,600186,莲花控股,2020-03-12,2020-04-22,2020-03-31,,2020-03-31
184,600284,浦东建设,2020-03-12,2020-03-31,,,2020-03-31
185,600396,华电辽能,2020-03-12,2020-04-02,,,2020-04-02
186,603018,华设集团,2020-03-12,2020-03-26,,,2020-03-26
187,603025,大豪科技,2020-03-12,2020-03-10,,,2020-03-10
188,603229,奥翔药业,2020-03-12,2020-04-03,,,2020-04-03
189,603303,得邦照明,2020-03-12,,,,2020-03-12
190,603327,福蓉科技,2020-03-12,2020-03-20,,,2020-03-20
191,603659,璞泰来,2020-03-12,2020-03-27,,,2020-03-27
192,603887,城地香江,2020-03-12,2020-03-31,,,2020-03-31
193,000050,深天马A,2020-03-13,2020-03-18,,,2020-03-18
194,000726,鲁泰A,2020-03-13,2020-04-30,,,2020-04-30
195,000791,甘肃能源,2020-03-13,2020-03-28,,,2020-03-28
196,000795,英洛华,2020-03-13,,,,2020-03-13
197,000856,冀东装备,2020-03-13,,,,2020-03-13
198,000877,天山股份,2020-03-13,2020-03-21,,,2020-03-21
199,002165,红宝丽,2020-03-13,,,,2020-03-13
200,002190,成飞集成,2020-03-13,2020-04-02,,,2020-04-02
201,002232,启明信息,2020-03-13,2020-04-18,,,2020-04-18
202,002238,天威视讯,2020-03-13,2020-03-26,2020-04-10,,2020-04-10
203,002419,天虹股份,2020-03-13,2020-03-20,,,2020-03-20
204,002879,长缆科技,2020-03-13,,,,2020-03-13
205,002910,庄园牧场,2020-03-13,2020-03-31,2020-04-24,,2020-04-24
206,002949,华阳国际,2020-03-13,2020-04-17,,,2020-04-17
207,300036,超图软件,2020-03-13,2020-04-10,,,2020-04-10
208,300358,楚天科技,2020-03-13,2020-03-28,,,2020-03-28
209,300414,中光防雷,2020-03-13,2020-03-31,,,2020-03-31
210,300565,科信技术,2020-03-13,2020-04-24,,,2020-04-24
211,300726,宏达电子,2020-03-13,,,,2020-03-13
212,600050,中国联通,2020-03-13,2020-03-24,,,2020-03-24
213,600095,湘财股份,2020-03-13,2020-04-27,2020-04-30,,2020-04-30
214,600211,西藏药业,2020-03-13,,,,2020-03-13
215,600228,*ST返利,2020-03-13,2020-03-28,,,2020-03-28
216,600331,宏达股份,2020-03-13,2020-04-03,,,2020-04-03
217,600423,*ST柳化,2020-03-13,2020-04-30,,,2020-04-30
218,600548,深高速,2020-03-13,2020-03-19,,,2020-03-19
219,600765,中航重机,2020-03-13,2020-03-30,2020-04-30,,2020-04-30
220,600803,新奥股份,2020-03-13,,,,2020-03-13
221,601168,西部矿业,2020-03-13,,,,2020-03-13
222,603058,永吉股份,2020-03-13,2020-04-20,,,2020-04-20
223,603103,横店影视,2020-03-13,,,,2020-03-13
224,603300,海南华铁,2020-03-13,2020-04-15,,,2020-04-15
225,603336,宏辉果蔬,2020-03-13,,,,2020-03-13
226,603613,国联股份,2020-03-13,2020-03-20,,,2020-03-20
227,002066,瑞泰科技,2020-03-14,2020-03-31,,,2020-03-31
228,002097,山河智能,2020-03-14,2020-03-26,,,2020-03-26
229,002695,煌上煌,2020-03-14,,,,2020-03-14
230,002706,良信股份,2020-03-14,2020-03-28,,,2020-03-28
231,300345,华民股份,2020-03-14,2020-03-24,,,2020-03-24
232,300363,博腾股份,2020-03-14,2020-03-28,,,2020-03-28
233,300488,恒锋工具,2020-03-14,2020-03-31,,,2020-03-31
234,302132,中航成飞,2020-03-14,2020-04-01,,,2020-04-01
235,600076,康欣新材,2020-03-14,2020-04-30,2020-05-20,,2020-05-20
236,600096,云天化,2020-03-14,2020-04-21,,,2020-04-21
237,600206,有研新材,2020-03-14,2020-04-17,,,2020-04-17
238,600523,贵航股份,2020-03-14,,,,2020-03-14
239,600761,安徽合力,2020-03-14,,,,2020-03-14
240,600826,兰生股份,2020-03-14,2020-04-18,,,2020-04-18
241,600973,宝胜股份,2020-03-14,2020-03-31,,,2020-03-31
242,603038,华立股份,2020-03-14,2020-04-28,,,2020-04-28
243,603093,南华期货,2020-03-14,,,,2020-03-14
244,300161,华中数控,2020-03-16,2020-04-30,2020-04-21,,2020-04-21
245,600862,中航高科,2020-03-16,,,,2020-03-16
246,600989,宝丰能源,2020-03-16,,,,2020-03-16
247,603022,新通联,2020-03-16,2020-04-10,,,2020-04-10
248,688202,美迪西,2020-03-16,2020-04-16,,,2020-04-16
249,000004,*ST国华,2020-03-17,2020-04-28,,,2020-04-28
250,000025,特力A,2020-03-17,2020-04-03,,,2020-04-03
251,000430,ST张家界,2020-03-17,2020-04-21,2020-04-28,,2020-04-28
252,000572,海马汽车,2020-03-17,2020-03-31,,,2020-03-31
253,000661,长春高新,2020-03-17,2020-03-27,,,2020-03-27
254,000752,*ST西发,2020-03-17,2020-04-29,,,2020-04-29
255,000768,中航西飞,2020-03-17,2020-03-31,,,2020-03-31
256,000868,安凯客车,2020-03-17,,,,2020-03-17
257,002007,华兰生物,2020-03-17,2020-04-07,,,2020-03-24
258,002033,丽江股份,2020-03-17,2020-03-31,,,2020-03-31
259,002114,罗平锌电,2020-03-17,,,,2020-03-17
260,002233,塔牌集团,2020-03-17,,,,2020-03-17
261,002507,涪陵榨菜,2020-03-17,,,,2020-03-17
262,002649,博彦科技,2020-03-17,2020-04-30,,,2020-04-30
263,002728,特一药业,2020-03-17,2020-03-27,,,2020-03-27
264,002812,恩捷股份,2020-03-17,,,,2020-03-17
265,002821,凯莱英,2020-03-17,2020-04-09,,,2020-04-09
266,002863,今飞凯达,2020-03-17,2020-03-28,,,2020-03-28
267,002902,铭普光磁,2020-03-17,,,,2020-03-17
268,300138,晨光生物,2020-03-17,2020-04-21,,,2020-04-21
269,300172,中电环保,2020-03-17,2020-04-21,,,2020-04-21
270,300204,舒泰神,2020-03-17,,,,2020-03-17
271,300285,国瓷材料,2020-03-17,,,,2020-03-17
272,300563,神宇股份,2020-03-17,,,,2020-03-17
273,300659,中孚信息,2020-03-17,2020-04-11,2020-04-01,,2020-04-01
274,600235,民丰特纸,2020-03-17,2020-04-09,,,2020-04-09
275,600287,苏豪时尚,2020-03-17,2020-04-21,,,2020-04-21
276,600866,星湖科技,2020-03-17,,,,2020-03-17
277,600982,宁波能源,2020-03-17,,,,2020-03-17
278,601882,海天精工,2020-03-17,,,,2020-03-17
279,603128,华贸物流,2020-03-17,2020-03-27,,,2020-03-27
280,603228,景旺电子,2020-03-17,,,,2020-03-17
281,603356,华菱精工,2020-03-17,2020-04-28,,,2020-04-28
282,603386,骏亚科技,2020-03-17,2020-04-09,,,2020-04-09
283,603389,*ST亚振,2020-03-17,2020-04-28,,,2020-04-28
284,000002,万科A,2020-03-18,,,,2020-03-18
285,000088,盐田港,2020-03-18,2020-04-09,,,2020-04-09
286,000400,许继电气,2020-03-18,2020-04-10,,,2020-04-10
287,000828,东莞控股,2020-03-18,,,,2020-03-18
288,001914,招商积余,2020-03-18,2020-04-14,,,2020-04-14
289,002080,中材科技,2020-03-18,,,,2020-03-18
290,002163,海南发展,2020-03-18,,,,2020-03-18
291,002175,*ST东智,2020-03-18,,,,2020-03-18
292,002182,宝武镁业,2020-03-18,,,,2020-03-18
293,002306,*ST云网,2020-03-18,2020-03-17,,,2020-03-17
294,002402,和而泰,2020-03-18,2020-04-28,2020-04-09,,2020-04-09
295,300074,华平股份,2020-03-18,,,,2020-03-18
296,300310,宜通世纪,2020-03-18,2020-03-07,,,2020-03-07
297,300738,奥飞数据,2020-03-18,,,,2020-03-18
298,300801,泰和科技,2020-03-18,2020-03-09,,,2020-03-09
299,600246,万通发展,2020-03-18,2020-04-30,,,2020-04-30
300,600298,安琪酵母,2020-03-18,2020-03-31,,,2020-03-31
301,600356,恒丰纸业,2020-03-18,2020-04-01,,,2020-04-01
302,600660,福耀玻璃,2020-03-18,2020-04-22,2020-04-28,,2020-04-28
303,600667,太极实业,2020-03-18,2020-04-29,,,2020-04-29
304,600725,云维股份,2020-03-18,,,,2020-03-18
305,600860,京城股份,2020-03-18,2020-03-28,,,2020-03-28
306,601233,桐昆股份,2020-03-18,2020-04-21,,,2020-04-21
307,601788,光大证券,2020-03-18,2020-03-28,,,2020-03-28
308,603099,长白山,2020-03-18,2020-04-16,,,2020-04-16
309,603185,弘元绿能,2020-03-18,,,,2020-03-18
310,603396,金辰股份,2020-03-18,2020-04-16,,,2020-04-16
311,603587,地素时尚,2020-03-18,2020-04-08,,,2020-04-08
312,603588,高能环境,2020-03-18,2020-04-28,,,2020-04-28
313,603678,火炬电子,2020-03-18,,,,2020-03-18
314,603826,坤彩科技,2020-03-18,2020-03-31,,,2020-03-31
315,603860,中公高科,2020-03-18,2020-03-31,,,2020-03-31
316,000553,安道麦A,2020-03-19,2020-04-01,2020-04-28,,2020-04-28
317,000698,ST沈化,2020-03-19,2020-04-10,,,2020-04-10
318,000737,北方铜业,2020-03-19,2020-04-01,,,2020-04-01
319,000798,中水渔业,2020-03-19,2020-04-10,,,2020-04-10
320,000905,厦门港务,2020-03-19,2020-03-20,,,2020-03-20
321,000932,华菱钢铁,2020-03-19,,,,2020-03-19
322,002179,中航光电,2020-03-19,2020-03-30,2020-03-31,,2020-03-31
323,002801,微光股份,2020-03-19,,,,2020-03-19
324,003816,中国广核,2020-03-19,2020-03-26,,,2020-03-26
325,300342,天银机电,2020-03-19,2020-03-25,,,2020-03-25
326,600038,中直股份,2020-03-19,2020-03-31,,,2020-03-31
327,600061,国投资本,2020-03-19,2020-03-27,,,2020-03-27
328,600316,洪都航空,2020-03-19,2020-03-30,2020-03-31,,2020-03-31
329,600372,中航机载,2020-03-19,2020-03-31,,,2020-03-31
330,600418,江淮汽车,2020-03-19,,,,2020-03-19
331,600880,博瑞传播,2020-03-19,2020-04-10,,,2020-04-10
332,601588,北辰实业,2020-03-19,2020-04-22,,,2020-04-22
333,601878,浙商证券,2020-03-19,,,,2020-03-19
334,601998,中信银行,2020-03-19,2020-03-27,,,2020-03-27
335,603387,基蛋生物,2020-03-19,2020-03-24,,,2020-03-24
336,000037,深南电A,2020-03-20,,,,2020-03-20
337,000421,南京公用,2020-03-20,2020-04-17,,,2020-04-17
338,000423,东阿阿胶,2020-03-20,2020-03-27,,,2020-03-27
339,000565,渝三峡A,2020-03-20,,,,2020-03-20
340,000652,泰达股份,2020-03-20,2020-04-10,,,2020-04-10
341,000779,甘咨询,2020-03-20,2020-03-31,,,2020-03-31
342,000837,秦川机床,2020-03-20,2020-04-22,,,2020-04-22
343,000965,天保基建,2020-03-20,,,,2020-03-20
344,000969,安泰科技,2020-03-20,2020-04-10,,,2020-04-10
345,000999,华润三九,2020-03-20,,,,2020-03-20
346,002107,沃华医药,2020-03-20,2020-03-28,2020-04-29,,2020-04-29
347,002237,恒邦股份,2020-03-20,,,,2020-03-20
348,002379,宏桥控股,2020-03-20,,,,2020-03-20
349,002380,科远智慧,2020-03-20,2020-04-21,,,2020-04-21
350,002381,双箭股份,2020-03-20,2020-04-25,,,2020-04-25
351,002414,高德红外,2020-03-20,2020-04-30,2020-04-28,,2020-04-28
352,002480,新筑股份,2020-03-20,2020-04-15,,,2020-04-15
353,002519,银河电子,2020-03-20,,,,2020-03-20
354,002553,南方精工,2020-03-20,,,,2020-03-20
355,002560,通达股份,2020-03-20,2020-04-24,,,2020-04-24
356,002576,通达动力,2020-03-20,2020-04-21,,,2020-04-21
357,002648,卫星化学,2020-03-20,2020-04-10,,,2020-04-10
358,002661,克明食品,2020-03-20,2020-04-20,,,2020-04-20
359,002727,一心堂,2020-03-20,,,,2020-03-20
360,002782,可立克,2020-03-20,,,,2020-03-20
361,002861,瀛通通讯,2020-03-20,,,,2020-03-20
362,002891,中宠股份,2020-03-20,2020-04-08,,,2020-04-08
363,002962,五方光电,2020-03-20,2020-04-30,,,2020-04-30
364,300253,卫宁健康,2020-03-20,2020-04-04,,,2020-04-04
365,300497,富祥药业,2020-03-20,2020-04-09,,,2020-04-09
366,300575,中旗股份,2020-03-20,,,,2020-03-20
367,300600,国瑞科技,2020-03-20,2020-04-28,,,2020-04-28
368,300650,太龙股份,2020-03-20,,,,2020-03-20
369,600022,山东钢铁,2020-03-20,,,,2020-03-20
370,600030,中信证券,2020-03-20,,,,2020-03-20
371,600118,中国卫星,2020-03-20,2020-04-25,,,2020-04-25
372,600241,时代万恒,2020-03-20,2020-04-24,,,2020-04-24
373,600256,广汇能源,2020-03-20,2020-04-25,,,2020-04-25
374,600310,广西能源,2020-03-20,2020-04-18,2020-04-15,,2020-04-15
375,600354,敦煌种业,2020-03-20,,,,2020-03-20
376,600511,国药股份,2020-03-20,2020-03-28,,,2020-03-28
377,600516,方大炭素,2020-03-20,2020-04-18,,,2020-04-18
378,600567,山鹰国际,2020-03-20,2020-04-30,,,2020-04-30
379,600649,城投控股,2020-03-20,2020-04-10,,,2020-04-10
380,600666,奥瑞德,2020-03-20,2020-04-24,,,2020-04-24
381,600720,中交设计,2020-03-20,,,,2020-03-20
382,600738,丽尚国潮,2020-03-20,2020-04-30,,,2020-04-30
383,600808,马钢股份,2020-03-20,2020-03-31,,,2020-03-31
384,600835,上海机电,2020-03-20,2020-04-03,,,2020-04-03
385,600965,*ST福成,2020-03-20,2020-04-28,,,2020-04-28
386,600987,航民股份,2020-03-20,2020-04-10,,,2020-04-10
387,601200,上海环境,2020-03-20,2020-04-10,,,2020-04-10
388,601636,旗滨集团,2020-03-20,2020-04-10,,,2020-04-10
389,601678,滨化股份,2020-03-20,2020-04-23,,,2020-04-23
390,601886,江河集团,2020-03-20,2020-03-31,,,2020-03-31
391,601975,招商南油,2020-03-20,,,,2020-03-20
392,603041,美思德,2020-03-20,,,,2020-03-20
393,603105,芯能科技,2020-03-20,2020-04-28,,,2020-04-28
394,603267,鸿远电子,2020-03-20,,,,2020-03-20
395,603330,天洋新材,2020-03-20,2020-04-28,,,2020-04-28
396,603385,惠达卫浴,2020-03-20,,,,2020-03-20
397,603500,祥和实业,2020-03-20,,,,2020-03-20
398,603595,ST东尼,2020-03-20,,,,2020-03-20
399,603663,三祥新材,2020-03-20,,,,2020-03-20
400,603727,博迈科,2020-03-20,,,,2020-03-20
401,603767,中马传动,2020-03-20,2020-04-21,,,2020-04-21
402,603933,睿能科技,2020-03-20,,,,2020-03-20
403,603938,三孚股份,2020-03-20,,,,2020-03-20
404,603986,兆易创新,2020-03-20,2020-03-27,,,2020-03-27
405,603987,康德莱,2020-03-20,2020-03-31,,,2020-03-31
406,688089,嘉必优,2020-03-20,2020-04-30,,,2020-04-30
407,688388,嘉元科技,2020-03-20,2020-03-31,,,2020-03-31
408,000404,长虹华意,2020-03-21,2020-04-11,,,2020-04-11
409,000407,胜利股份,2020-03-21,2020-03-28,,,2020-03-28
410,000548,湖南投资,2020-03-21,2020-03-28,,,2020-03-28
411,000559,万向钱潮,2020-03-21,2020-04-20,,,2020-04-20
412,000610,*ST西旅,2020-03-21,2020-04-15,,,2020-04-15
413,000619,海螺新材,2020-03-21,,,,2020-03-21
414,000655,金岭矿业,2020-03-21,,,,2020-03-21
415,000715,中兴商业,2020-03-21,2020-04-02,,,2020-04-02
416,000721,西安饮食,2020-03-21,2020-04-15,,,2020-04-15
417,000738,航发控制,2020-03-21,2020-04-10,,,2020-04-10
418,000786,北新建材,2020-03-21,,,,2020-03-21
419,000970,中科三环,2020-03-21,2020-04-25,,,2020-04-25
420,000975,山金国际,2020-03-21,,,,2020-03-21
421,002011,盾安环境,2020-03-21,,,,2020-03-21
422,002028,思源电气,2020-03-21,2020-04-18,,,2020-04-18
423,002236,大华股份,2020-03-21,2020-04-03,,,2020-04-03
424,002386,天原股份,2020-03-21,2020-04-30,,,2020-04-30
