序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1,300503,昊志机电,归属于上市公司股东的净利润,"预计2022年1-12月归属于上市公司股东的净利润盈利:2,000万元至2,600万元,同比上年下降:81.37%至85.67%。",23000000.0,-83.52,"随着公司年度审计工作的推进,部分业务活动的会计处理结果与前期预告时产生差异。经与年审会计师深入沟通,基于审慎性原则,对公司2022年度业绩进行修正,具体原因如下:根据《企业会计准则》的相关规定,按照谨慎性原则,公司对相关资产计提减值准备,审计机构认定的存货跌价准备、应收账款坏账准备等较公司业绩预告时增加,导致修正数据。",预减,139572500.0,2023-04-28
2,300503,昊志机电,扣除非经常性损益后的净利润,"预计2022年1-12月扣除非经常性损益后的净利润亏损:600万元至800万元,同比上年下降:105.71%至107.61%。",-7000000.0,-106.66,"随着公司年度审计工作的推进,部分业务活动的会计处理结果与前期预告时产生差异。经与年审会计师深入沟通,基于审慎性原则,对公司2022年度业绩进行修正,具体原因如下:根据《企业会计准则》的相关规定,按照谨慎性原则,公司对相关资产计提减值准备,审计机构认定的存货跌价准备、应收账款坏账准备等较公司业绩预告时增加,导致修正数据。",首亏,105070500.0,2023-04-28
3,300503,昊志机电,扣除后营业收入,"预计2022年1-12月扣除后营业收入:94,000万元至99,000万元。",965000000.0,,"随着公司年度审计工作的推进,部分业务活动的会计处理结果与前期预告时产生差异。经与年审会计师深入沟通,基于审慎性原则,对公司2022年度业绩进行修正,具体原因如下:根据《企业会计准则》的相关规定,按照谨慎性原则,公司对相关资产计提减值准备,审计机构认定的存货跌价准备、应收账款坏账准备等较公司业绩预告时增加,导致修正数据。",略减,1131782100.0,2023-04-28
4,300503,昊志机电,营业收入,"预计2022年1-12月营业收入:95,000万元至100,000万元。",975000000.0,-14.495,"随着公司年度审计工作的推进,部分业务活动的会计处理结果与前期预告时产生差异。经与年审会计师深入沟通,基于审慎性原则,对公司2022年度业绩进行修正,具体原因如下:根据《企业会计准则》的相关规定,按照谨慎性原则,公司对相关资产计提减值准备,审计机构认定的存货跌价准备、应收账款坏账准备等较公司业绩预告时增加,导致修正数据。",略减,1140288000.0,2023-04-28
5,300302,同有科技,扣除非经常性损益后的净利润,"预计2022年1-12月扣除非经常性损益后的净利润亏损:2,200万元至2,600万元。",-24000000.0,-18.525,"本次业绩预告修正,系公司与年审会计师深入沟通后,结合业务实际情况,对部分销售合同收入确认条件进行再次分析,基于谨慎性原则,部分收入2022年度不予确认,将在2023年第一季度确认。受收入调整影响,公司预计2022年度毛利额、信用减值损失减少,导致净利润变化超出业绩预告区间。",增亏,-20249000.0,2023-04-27
6,300302,同有科技,营业收入,"预计2022年1-12月营业收入:43,300万元至43,700万元。",435000000.0,11.28,"本次业绩预告修正,系公司与年审会计师深入沟通后,结合业务实际情况,对部分销售合同收入确认条件进行再次分析,基于谨慎性原则,部分收入2022年度不予确认,将在2023年第一季度确认。受收入调整影响,公司预计2022年度毛利额、信用减值损失减少,导致净利润变化超出业绩预告区间。",略增,390908700.0,2023-04-27
7,300302,同有科技,归属于上市公司股东的净利润,"预计2022年1-12月归属于上市公司股东的净利润亏损:1,800万元至2,200万元。",-20000000.0,-65.6,"本次业绩预告修正,系公司与年审会计师深入沟通后,结合业务实际情况,对部分销售合同收入确认条件进行再次分析,基于谨慎性原则,部分收入2022年度不予确认,将在2023年第一季度确认。受收入调整影响,公司预计2022年度毛利额、信用减值损失减少,导致净利润变化超出业绩预告区间。",增亏,-12077400.0,2023-04-27
8,002177,御银股份,扣除非经常性损益后的净利润,"预计2022年1-12月扣除非经常性损益后的净利润盈利:1,600万元至2,400万元。",20000000.0,182.975,"随着2022年度报告编制工作的推进,公司与年度审计会计师事务所做了深入沟通,按照中国证券监督管理委员会颁布的《公开发行证券的公司信息披露解释性公告第1号—非经常性损益》及《企业会计准则》的相关规定,基于审慎性原则,根据实际情况对经常性损益项目进行了适当的调整,主要是对其他非流动金融资产持有期间收到的现金股利进行重分类,增加经常性损益金额约1,120.36万元。因此,对公司前次披露的2022年度业绩预告中的相关财务指标进行了修正。本报告期内预计非经常性损益对净利润的影响金额为2,900万元至4,300万元,主要是公司出售佛山海晟金融租赁股份有限公司9%股权及前海股交投资控股(深圳)有限公司公允价值变动所致。",扭亏,-24104700.0,2023-04-27
9,002177,御银股份,非经常性损益,"预计2022年1-12月非经常性损益:2,900万元至4,300万元。",36000000.0,189.625,"随着2022年度报告编制工作的推进,公司与年度审计会计师事务所做了深入沟通,按照中国证券监督管理委员会颁布的《公开发行证券的公司信息披露解释性公告第1号—非经常性损益》及《企业会计准则》的相关规定,基于审慎性原则,根据实际情况对经常性损益项目进行了适当的调整,主要是对其他非流动金融资产持有期间收到的现金股利进行重分类,增加经常性损益金额约1,120.36万元。因此,对公司前次披露的2022年度业绩预告中的相关财务指标进行了修正。本报告期内预计非经常性损益对净利润的影响金额为2,900万元至4,300万元,主要是公司出售佛山海晟金融租赁股份有限公司9%股权及前海股交投资控股(深圳)有限公司公允价值变动所致。",不确定,-40167029.98,2023-04-27
10,000908,ST景峰,归属于上市公司股东的净利润,"预计2022年1-12月归属于上市公司股东的净利润亏损:10,000万元至16,000万元。",-130000000.0,20.57,"2022年度业绩预告业绩变动主要原因披露如下:1、基于谨慎性原则,对公司及下属子公司2022年末存在可能发生减值迹象的资产补充计提资产减值损失,影响净利润约-4,500万元。2、因市场环境以及供应链受阻等因素影响,公司下游客户回款困难,造成公司预期信用损失计提不足。遵循谨慎性的原则,公司财务部门对财务数据再次测算,并与审计会计师充分沟通,对信用减值损失增加计提,影响净利润约-1,500万元左右。同时根据测算预计退货率调整收入,确认预计负债,影响净利润约-2,400万元。3、公司在出售持有的江苏璟泽生物医药有限公司股权交易中,部分交易合同包含了回购条款,基于谨慎性原则于2021年对该事项确认了衍生金融负债。根据最新情况测算,原考虑的部分不确定性因素没有发生,本期影响净利润约1,000万元。",减亏,-163660200.0,2023-04-27
