symbol,fiscal_year,forecast_available,forecast_bad,forecast_severe_bad,forecast_yoy_min,forecast_yoy_mean,forecast_value_min,first_forecast_notice,last_forecast_notice
600081,2021,1,0,0,8.0,70.5,186147800.0,2022-01-20,2022-01-20
600081,2022,1,1,0,-62.14,-61.730000000000004,72831200.0,2023-01-11,2023-01-11
600082,2020,1,1,1,-493.0,-169.75,-64000000.0,2021-01-25,2021-01-25
600082,2021,1,1,1,-70.0,2.75,-17000000.0,2022-01-29,2022-01-29
600084,2019,1,0,0,104.035,106.31,7250000.0,2020-01-21,2020-01-21
600084,2020,1,1,1,-830.915,-656.485,-62000000.0,2021-01-28,2021-01-28
600084,2021,1,1,1,26.74,355.3575,-45000000.0,2022-01-28,2022-01-28
600084,2022,1,1,1,-5278.945,-1806.2475,-875500000.0,2023-01-21,2023-01-21
600084,2023,1,1,1,98.555,195.45333333333335,-12650000.0,2024-01-31,2024-01-31
600085,2023,1,0,0,13.5,13.55,1588950000.0,2024-01-31,2024-01-31
600088,2020,1,1,1,-270.59,-246.48,-129000000.0,2021-01-30,2021-01-30
600088,2021,1,1,1,89.44,92.47,-12970000.0,2022-01-29,2022-01-29
600088,2022,1,1,1,-3266.27,-1958.31,-81550000.0,2023-01-31,2023-01-31
600088,2023,1,0,0,132.625,329.5925,25000000.0,2024-01-31,2024-01-31
600089,2021,1,0,0,183.49,201.04250000000002,5850000000.0,2022-01-15,2022-01-15
600089,2022,1,0,0,123.0,144.83333333333334,16200000000.0,2023-01-20,2023-01-20
600094,2021,1,1,1,-242.03,-216.2,-604000000.0,2022-04-22,2022-04-22
600094,2022,1,0,0,116.5,127.1825,101000000.0,2023-01-31,2023-01-31
600095,2022,1,1,1,-175.745,-173.385,-357500000.0,2023-01-31,2023-01-31
600095,2023,1,0,0,128.025,133.16750000000002,95000000.0,2024-01-27,2024-01-27
600096,2020,1,0,0,-20.74,66.0,51000000.0,2021-01-23,2021-01-23
600096,2021,1,0,0,-50.93,2788.7166666666667,110000000.0,2022-01-11,2022-01-11
600096,2022,1,0,0,63.375,64.22999999999999,5796000000.0,2023-01-06,2023-01-06
600096,2023,1,1,0,-25.72,-25.494999999999997,4380000000.0,2024-01-06,2024-01-06
600098,2021,1,1,1,-94.0,-83.75,45000000.0,2022-01-29,2022-01-29
600098,2022,1,0,0,684.0,8248.75,1310000000.0,2023-01-18,2023-01-18
600100,2019,1,1,1,66.755,86.5975,-1400000000.0,2020-01-23,2020-01-23
600100,2020,1,1,1,-66.5,-0.5,-470000000.0,2021-01-23,2021-01-23
600100,2021,1,1,1,-1885.24,-1115.6625,-2118000000.0,2022-01-25,2022-01-25
600100,2022,1,1,1,56.14,59.84,-955000000.0,2023-01-21,2023-01-21
600100,2023,1,1,1,-1.16,4.38,-1065000000.0,2024-01-31,2024-01-31
600101,2021,1,0,0,76.0,82.0,118000000.0,2022-01-15,2022-01-15
600103,2020,1,1,1,-377.89,-213.07,-175190000.0,2021-01-30,2021-01-30
600103,2021,1,0,0,155.515,165.6875,142950000.0,2022-01-25,2022-01-25
600103,2023,1,1,0,-49.0,-43.75,76500000.0,2024-01-25,2024-01-25
600104,2019,1,1,0,-34.0,-31.45,21400000000.0,2020-01-14,2020-01-14
600104,2020,1,1,0,-21.89,-20.865000000000002,17300000000.0,2021-01-12,2021-01-12
600105,2019,1,1,1,-97.5,-88.75,2705000.0,2020-01-18,2020-01-18
600105,2020,1,1,1,-2318.35,-2284.885,-520000000.0,2021-01-28,2021-01-28
600105,2021,1,0,0,107.46,115.79249999999999,45000000.0,2022-01-26,2022-01-26
600105,2022,1,0,0,115.5,155.5,75000000.0,2023-01-18,2023-01-18
600105,2023,1,1,0,-63.0,-62.75,27000000.0,2024-01-30,2024-01-30
600107,2020,1,1,1,-145.205,42.15499999999999,-26000000.0,2021-04-17,2021-04-17
600107,2021,1,1,1,-83.785,35.239999999999995,14750000.0,2022-01-26,2022-01-26
600107,2022,1,1,1,-921.25,-789.595,-133270000.0,2023-01-31,2023-01-31
600107,2023,1,1,1,31.37,38.89,-84500000.0,2024-01-31,2024-01-31
600108,2020,1,1,1,-2537.505,-1833.565,-830000000.0,2021-01-30,2021-01-30
600108,2021,1,0,0,104.92,108.38666666666667,28500000.0,2022-01-28,2022-01-28
600110,2019,1,1,1,-330.105,-276.77,-135000000.0,2020-01-23,2020-01-23
600110,2020,1,1,1,62.0,173.72333333333333,-51000000.0,2021-01-29,2021-01-29
600110,2021,1,0,0,862.0,4141.25,385000000.0,2022-01-29,2022-01-29
600110,2023,1,1,1,-143.69,174.0033333333333,-145000000.0,2024-01-31,2024-01-31
600111,2021,1,0,0,494.09,496.1375,4786723200.0,2022-01-14,2022-01-14
600111,2023,1,1,0,-65.8,-64.0675,2120000000.0,2024-01-30,2024-01-30
600113,2021,1,0,0,27.53,1025.7975000000001,629643300.0,2022-01-28,2022-01-29
600113,2022,1,1,1,-77.105,-36.642500000000005,120000000.0,2023-01-21,2023-01-21
600114,2020,1,1,1,-76.75,-40.8125,35500000.0,2021-01-14,2021-01-14
600114,2021,1,1,1,-211.0,-147.0,-38500000.0,2022-01-07,2022-01-07
600114,2022,1,0,0,469.235,484.8675,145000000.0,2023-01-11,2023-01-11
600115,2020,1,1,1,-569.42,-509.2025,-12050000000.0,2021-01-30,2021-01-30
600115,2021,1,1,1,-6.09,-4.797499999999999,-13450000000.0,2022-01-29,2022-01-29
600115,2022,1,1,1,-207.025,-194.935,-38300000000.0,2023-01-31,2023-01-31
600115,2023,1,1,1,78.395,79.1,-8200000000.0,2024-01-31,2024-01-31
600116,2020,1,0,0,239.0,357.0,460000000.0,2021-01-19,2021-01-19
600117,2019,1,0,0,106.72,106.72,137500000.0,2020-01-21,2020-01-21
600117,2021,1,1,1,-2044.63,-2044.63,-1150000000.0,2022-04-23,2022-04-23
600117,2022,1,1,1,4.23,4.23,-1100000000.0,2023-01-31,2023-01-31
600117,2023,1,1,1,-53.4,49.38666666666668,-1738000000.0,2024-01-31,2024-01-31
600119,2019,1,1,1,75.01,93.4375,-170000000.0,2020-01-21,2020-01-21
600119,2020,1,1,1,-220.555,-80.0275,-77250000.0,2021-01-30,2021-01-30
600119,2021,1,1,1,-44.235,-35.0125,-160825000.0,2022-04-02,2022-04-02
600119,2022,1,1,1,90.25,91.4225,-17000000.0,2023-01-31,2023-01-31
600119,2023,1,1,1,-19.39,79.00999999999999,-27000000.0,2024-01-31,2024-01-31
600121,2019,1,1,1,-703.4,-678.615,-920000000.0,2020-04-16,2020-04-16
600121,2020,1,1,1,-30.1,-12.780000000000001,-898000000.0,2021-01-30,2021-01-30
600121,2021,1,1,1,78.28,84.855,-205000000.0,2022-01-29,2022-01-29
600121,2022,1,0,0,83.36,136.96166666666667,-20000000.0,2023-01-30,2023-01-30
600121,2023,1,1,1,-78.5,570.9733333333334,15000000.0,2024-01-20,2024-01-20
600123,2020,1,1,0,-56.035,244.09666666666666,60000000.0,2021-01-29,2021-01-29
600123,2021,1,0,0,35.33,387.93833333333333,60000000.0,2022-01-22,2022-01-22
600123,2022,1,0,0,36.055,472.24500000000006,600000000.0,2023-01-17,2023-01-17
600125,2022,1,1,0,-3.45,-1.5775000000000001,308000000.0,2023-01-20,2023-01-20
600125,2023,1,0,0,39.4,41.8,443583500.0,2024-01-30,2024-01-30
600126,2019,1,1,0,-51.5,-51.36,920000000.0,2020-01-18,2020-01-18
600126,2021,1,0,0,47.31,47.7,1663000000.0,2022-01-21,2022-01-21
600126,2022,1,1,1,-71.36,-71.07,447000000.0,2023-01-31,2023-01-31
600126,2023,1,1,1,-103.07,-84.03,-13000000.0,2024-01-30,2024-01-30
600127,2019,1,1,1,27.925,75.72500000000001,-55500000.0,2020-01-31,2020-01-31
600127,2020,1,0,0,61.0,87.2125,6500000.0,2021-01-29,2021-01-29
600127,2021,1,1,1,-593.15,-403.555,-36000000.0,2022-01-29,2022-01-29
600127,2022,1,1,1,-112.73,-95.8125,-63000000.0,2023-01-31,2023-01-31
600127,2023,1,0,0,120.875,137.4925,13500000.0,2024-01-27,2024-01-27
600128,2019,1,1,1,-40.825,59.87,-83500000.0,2020-01-23,2020-01-23
600129,2019,1,1,1,-185.4,-123.415,-135000000.0,2020-01-21,2020-01-21
600129,2020,1,1,1,-206.51,169.25333333333333,-480000000.0,2021-01-30,2021-01-30
600129,2021,1,1,1,-811.4,-299.71666666666664,-630000000.0,2022-01-29,2022-01-29
600129,2022,1,0,0,-111.5,68.37666666666668,-20000000.0,2023-01-18,2023-01-18
600129,2023,1,0,0,107.4,307.43333333333334,70000000.0,2024-01-25,2024-01-25
600130,2019,1,1,1,,,,2019-10-31,2019-10-31
600130,2022,1,1,1,-56.86,7.682499999999997,-250000.0,2023-01-31,2023-01-31
600131,2019,1,0,0,20.0,20.0,488000000.0,2020-01-18,2020-01-18
600132,2019,1,0,0,22.5,41.25,433203600.0,2020-01-23,2020-01-23
600132,2020,1,0,0,0.5,0.75,,2021-01-30,2021-01-30
600133,2020,1,0,0,251.5,279.25,560170000.0,2021-01-21,2021-01-21
600133,2023,1,0,0,11.5,55.25,550000000.0,2024-01-23,2024-01-23
600135,2019,1,0,0,498.66,788.48,35514000.0,2020-01-21,2020-01-21
600135,2020,1,1,1,-93.5,-73.25,808500.0,2021-01-19,2021-01-19
600135,2023,1,1,1,-674.19,-443.94000000000005,-91530000.0,2024-01-31,2024-01-31
600136,2020,1,1,1,-1765.355,-1005.115,-1755000000.0,2021-01-30,2021-01-30
600136,2021,1,1,1,62.285,127.7425,-730000000.0,2022-01-29,2022-01-29
600136,2022,1,1,1,-319.32,-162.60625000000002,-4100000000.0,2023-01-31,2023-01-31
600136,2023,1,1,1,-50.63,42126.903,-375000000.0,2024-01-31,2024-01-31
600137,2019,1,1,1,-73.51,-64.3575,6143700.0,2020-01-22,2020-01-22
600138,2020,1,1,1,-194.31,-168.185,-407469000.0,2021-01-30,2021-01-30
600138,2021,1,1,1,71.71,89.085,-111771000.0,2022-01-29,2022-01-29
600138,2022,1,1,1,-1710.75,-993.255,-430551200.0,2023-01-31,2023-01-31
600138,2023,1,0,0,-51.52,79.23666666666666,40806200.0,2024-01-31,2024-01-31
600141,2020,1,0,0,110.0,115.0,635155000.0,2021-01-12,2021-01-12
600141,2021,1,0,0,-2981.51,-590.8233333333334,-250000000.0,2022-01-07,2022-01-07
600141,2022,1,0,0,36.81,37.8725,5900000000.0,2023-01-14,2023-01-14
600141,2023,1,1,1,-78.025,-76.965,1330000000.0,2024-01-19,2024-01-19
600143,2019,1,0,0,-32.48,91.17333333333333,198000000.0,2020-01-21,2020-01-21
600143,2020,1,0,0,270.0,302.0,4424500000.0,2021-01-29,2021-01-29
600143,2021,1,1,0,-65.615,-64.7775,1525500000.0,2022-01-29,2022-01-29
600143,2023,1,1,1,-84.86,-84.4725,203000000.0,2024-01-30,2024-01-30
600148,2020,1,0,0,158.0,166.5,50825000.0,2021-01-27,2021-01-27
600148,2022,1,1,1,-157.13,-137.6525,-18500000.0,2023-01-31,2023-01-31
600148,2023,1,1,1,80.18,94.755,-4085000.0,2024-01-31,2024-01-31
600149,2020,1,0,0,13.88,343.39000000000004,1580000.0,2021-01-28,2021-01-28
600149,2021,1,1,1,-81.5,-43.0,1260000.0,2022-01-25,2022-01-25
600149,2022,1,1,1,-921.005,-714.9375,-9770000.0,2023-01-19,2023-01-19
600149,2023,1,1,1,-55.13,-48.6325,-14000000.0,2024-01-27,2024-01-27
600150,2023,1,1,1,9.55,570.3,-250000000.0,2024-01-30,2024-01-30
600151,2019,1,1,1,-2098.34,-1076.22,-810000000.0,2020-01-22,2020-01-22
600151,2020,1,1,1,64.035,94.315,-287780000.0,2021-01-30,2021-01-30
600151,2021,1,1,1,-65.885,8.134999999999998,-54350000.0,2022-01-27,2022-01-27
600151,2022,1,1,1,-418.215,-357.875,-281800000.0,2023-01-31,2023-01-31
600151,2023,1,1,1,-310.215,-209.23499999999999,-546000000.0,2024-01-31,2024-01-31
600152,2019,1,1,1,-217.26,-81.965,-76000000.0,2020-04-10,2020-04-10
600152,2020,1,1,1,-0.07,373.3633333333333,-76000000.0,2021-01-27,2021-01-27
600152,2021,1,1,1,-344.19,-246.64499999999998,-158000000.0,2022-01-29,2022-01-29
600152,2022,1,1,1,21.2,22.855,-127000000.0,2023-01-31,2023-01-31
600152,2023,1,1,1,-17.26,-15.775,-154000000.0,2024-01-25,2024-01-25
600153,2023,1,1,0,-33.5,36.75,2450000000.0,2024-01-31,2024-01-31
600155,2019,1,0,0,80.0,135.0,270201900.0,2020-01-22,2020-01-22
600155,2020,1,0,0,43.42,98.065,0.38,2021-01-30,2021-01-30
600155,2021,1,0,0,50.0,55.0,0.58,2022-01-21,2022-01-21
600155,2022,1,1,0,-68.0,-64.25,0.22,2023-01-31,2023-01-31
600156,2019,1,1,1,-308.26,-148.84,-60500000.0,2020-01-21,2020-01-21
600156,2020,1,1,1,-53.04,959.8983333333334,-93310000.0,2021-01-29,2021-01-29
600156,2021,1,1,1,-309.9,-165.8275,-109750000.0,2022-01-29,2022-01-29
600156,2022,1,1,1,-175.525,-116.2025,-193500000.0,2023-01-30,2023-01-30
600156,2023,1,1,1,73.155,92.3925,-50000000.0,2024-01-31,2024-01-31
600157,2019,1,0,0,111.55,123.3425,71635100.0,2020-01-17,2020-01-17
600157,2020,1,0,0,139.565,1700.7125,0.2121,2021-01-18,2021-01-18
600157,2021,1,1,1,-75.025,133.96499999999997,865000000.0,2022-01-29,2022-01-29
600157,2022,1,0,0,72.915,88.315,1686000000.0,2023-01-30,2023-01-30
600157,2023,1,0,0,19.405,29.677500000000002,2280000000.0,2024-01-02,2024-01-02
600158,2020,1,1,0,-58.5,-3.5,55000000.0,2021-01-30,2021-01-30
600158,2022,1,1,1,-82.0,-79.75,7500000.0,2023-01-30,2023-01-30
600158,2023,1,0,0,509.5,755.5,71000000.0,2024-01-17,2024-01-17
600159,2022,1,1,1,-283.8,-274.82500000000005,-185000000.0,2023-01-31,2023-01-31
600159,2023,1,1,1,-89.1,-82.34,-332600000.0,2024-01-31,2024-01-31
600160,2019,1,1,0,-68.5,-62.75,633244400.0,2020-01-18,2020-01-18
600160,2020,1,1,1,-116.0,-81.60666666666667,-90515700.0,2021-01-19,2021-01-19
600160,2021,1,0,0,-57.73,664.3266666666667,88000000.0,2022-01-25,2022-01-25
600160,2022,1,0,0,110.5,114.75,2264000000.0,2023-01-13,2023-01-13
600160,2023,1,1,0,-63.5,-2.8399999999999985,122000000.0,2024-01-30,2024-01-30
600161,2019,1,0,0,21.0,21.0,612760000.0,2020-01-14,2020-01-14
600161,2020,1,0,0,1.34,2.445,618040000.0,2021-01-09,2021-01-09
600162,2023,1,1,1,-194.5,-131.25,-91500000.0,2024-01-31,2024-01-31
600163,2020,1,0,0,-67.39,100.20333333333333,14580000.0,2021-01-29,2021-01-29
600165,2019,1,1,1,-794.465,-697.2175,-47000000.0,2020-01-23,2020-01-23
600165,2020,1,0,0,108.475,125.9275,3750000.0,2021-01-27,2021-01-27
600165,2021,1,1,1,-725.405,-462.9275,-24000000.0,2022-04-22,2022-04-22
600165,2022,1,1,1,4.78,5.835,-147500000.0,2023-01-31,2023-01-31
600165,2023,1,1,1,-202.695,-201.5425,-425000000.0,2024-03-26,2024-03-26
600166,2019,1,1,1,60.83,83.07499999999999,-1639000000.0,2020-04-23,2020-04-23
600166,2020,1,1,1,-67.48,1.6999999999999993,-438000000.0,2021-01-30,2021-01-30
600166,2021,1,1,1,-3348.39,-1286.9666666666665,-5552000000.0,2022-01-29,2022-01-29
600166,2022,1,1,1,-47.75,49.473333333333336,-281800000.0,2023-01-20,2023-01-20
600166,2023,1,0,0,84.52,517.96,220000000.0,2024-01-24,2024-01-24
600168,2021,1,1,1,-105.0,-23.75,-9230000.0,2022-01-29,2022-01-29
600168,2022,1,1,1,-226.38,-162.805,-29350000.0,2023-01-31,2023-01-31
600168,2023,1,1,1,-908.59,1102.095,-270000000.0,2024-01-31,2024-01-31
600169,2019,1,1,1,-19541.93,-10809.205,-836000000.0,2020-01-22,2020-01-22
600169,2020,1,1,1,50.01,213.53,-448000000.0,2021-01-26,2021-01-26
600169,2021,1,1,1,82.56,235.92,-75000000.0,2022-01-26,2022-01-26
600170,2022,1,1,0,-62.855,-60.64,1150000000.0,2023-01-21,2023-01-21
600171,2019,1,0,0,34.5,48.25,118000000.0,2020-01-21,2020-01-21
600171,2020,1,0,0,36.0,73.5,180000000.0,2021-01-20,2021-01-20
600171,2023,1,1,1,-114.535,-81.7675,-58000000.0,2024-01-26,2024-01-26
600172,2019,1,1,1,85.165,116.83333333333333,-20000000.0,2020-01-23,2020-01-23
600172,2020,1,1,1,-2560.19,-2014.68,-961000000.0,2021-01-30,2021-01-30
600172,2021,1,0,0,81.34,100.79333333333334,-65300000.0,2022-01-29,2022-01-29
600172,2023,1,1,1,-5182.16,-3936.535,-800720000.0,2024-04-30,2024-04-30
600176,2021,1,0,0,165.0,170.0,5340080000.0,2022-01-11,2022-01-11
600176,2023,1,1,0,-57.5,-55.0,1860234150.0,2024-01-27,2024-01-27
600177,2020,1,1,0,-11.0,21.666666666666668,3441308200.0,2021-01-30,2021-01-30
600178,2019,1,1,1,85.01,126.89000000000001,-11639500.0,2020-01-21,2020-01-21
600178,2020,1,0,0,210.11,239.555,18080000.0,2021-01-09,2021-01-09
600178,2021,1,0,0,19.51,56.480000000000004,15315300.0,2022-01-22,2022-01-22
600178,2023,1,1,1,-1907.045,-1000.64,-66565000.0,2024-01-31,2024-01-31
600179,2019,1,1,1,-1092.975,-975.8575,-3733000000.0,2020-01-23,2020-01-23
