symbol,firm_name_schedule,fiscal_year,first_appointment,actual_disclosure,revision_count,delay_days,postponed,advanced,long_postponement,first_doy,actual_doy,actual_month,april_disclosure,after_apr20
002084,海鸥住工,2019,2020-02-29,2020-03-31,1,31,1,0,1,60,91,3,0,0
002136,安纳达,2019,2020-02-29,2020-02-29,0,0,0,0,0,60,60,2,0,0
002138,顺络电子,2019,2020-02-29,2020-03-17,1,17,1,0,1,60,77,3,0,0
002245,蔚蓝锂芯,2019,2020-02-29,2020-02-29,0,0,0,0,0,60,60,2,0,0
002258,利尔化学,2019,2020-02-29,2020-03-12,1,12,1,0,0,60,72,3,0,0
002296,辉煌科技,2019,2020-02-29,2020-04-10,1,41,1,0,1,60,101,4,1,0
002492,恒基达鑫,2019,2020-02-29,2020-03-24,1,24,1,0,1,60,84,3,0,0
002847,盐津铺子,2019,2020-02-29,2020-03-07,2,7,1,0,0,60,67,3,0,0
300030,阳普医疗,2019,2020-02-29,2020-03-07,1,7,1,0,0,60,67,3,0,0
300118,东方日升,2019,2020-02-29,2020-04-18,2,49,1,0,1,60,109,4,1,0
300121,阳谷华泰,2019,2020-02-29,2020-02-29,0,0,0,0,0,60,60,2,0,0
300193,佳士科技,2019,2020-02-29,2020-02-29,0,0,0,0,0,60,60,2,0,0
300231,银信科技,2019,2020-02-29,2020-02-29,0,0,0,0,0,60,60,2,0,0
300234,开尔新材,2019,2020-02-29,2020-03-24,2,24,1,0,1,60,84,3,0,0
300286,安科瑞,2019,2020-02-29,2020-03-13,1,13,1,0,0,60,73,3,0,0
300322,硕贝德,2019,2020-02-29,2020-02-29,0,0,0,0,0,60,60,2,0,0
300403,汉宇集团,2019,2020-02-29,2020-02-29,0,0,0,0,0,60,60,2,0,0
300443,金雷股份,2019,2020-02-29,2020-02-29,0,0,0,0,0,60,60,2,0,0
300772,运达股份,2019,2020-02-29,2020-03-20,1,20,1,0,1,60,80,3,0,0
600130,波导股份,2019,2020-02-29,2020-03-17,1,17,1,0,1,60,77,3,0,0
600282,南钢股份,2019,2020-02-29,2020-03-25,1,25,1,0,1,60,85,3,0,0
600605,汇通能源,2019,2020-02-29,2020-02-29,0,0,0,0,0,60,60,2,0,0
600990,四创电子,2019,2020-02-29,2020-04-25,1,56,1,0,1,60,116,4,1,1
002167,东方锆业,2019,2020-03-03,2020-03-24,2,21,1,0,1,63,84,3,0,0
002601,龙佰集团,2019,2020-03-03,2020-03-25,2,22,1,0,1,63,85,3,0,0
300119,瑞普生物,2019,2020-03-03,2020-04-02,1,30,1,0,1,63,93,4,1,0
300632,光莆股份,2019,2020-03-03,2020-03-10,1,7,1,0,0,63,70,3,0,0
600202,哈空调,2019,2020-03-03,2020-03-03,0,0,0,0,0,63,63,3,0,0
600276,恒瑞医药,2019,2020-03-03,2020-03-23,1,20,1,0,1,63,83,3,0,0
600577,精达股份,2019,2020-03-03,2020-03-31,1,28,1,0,1,63,91,3,0,0
603077,和邦生物,2019,2020-03-03,2020-04-22,1,50,1,0,1,63,113,4,1,1
002320,海峡股份,2019,2020-03-05,2020-03-05,0,0,0,0,0,65,65,3,0,0
300727,润禾材料,2019,2020-03-05,2020-03-05,0,0,0,0,0,65,65,3,0,0
600116,三峡水利,2019,2020-03-05,2020-03-07,1,2,1,0,0,65,67,3,0,0
000045,深纺织A,2019,2020-03-06,2020-03-14,1,8,1,0,0,66,74,3,0,0
000514,渝开发,2019,2020-03-06,2020-03-26,1,20,1,0,1,66,86,3,0,0
000717,中南股份,2019,2020-03-06,2020-03-31,1,25,1,0,1,66,91,3,0,0
000987,越秀资本,2019,2020-03-06,2020-02-29,1,-6,0,1,0,66,60,2,0,0
002324,普利特,2019,2020-03-06,2020-03-21,1,15,1,0,1,66,81,3,0,0
002572,索菲亚,2019,2020-03-06,2020-03-24,1,18,1,0,1,66,84,3,0,0
002756,永兴材料,2019,2020-03-06,2020-03-20,1,14,1,0,1,66,80,3,0,0
002880,卫光生物,2019,2020-03-06,2020-03-06,0,0,0,0,0,66,66,3,0,0
300406,九强生物,2019,2020-03-06,2020-03-26,1,20,1,0,1,66,86,3,0,0
300451,创业慧康,2019,2020-03-06,2020-03-26,1,20,1,0,1,66,86,3,0,0
300686,智动力,2019,2020-03-06,2020-03-06,0,0,0,0,0,66,66,3,0,0
300721,怡达股份,2019,2020-03-06,2020-03-25,1,19,1,0,1,66,85,3,0,0
300752,隆利科技,2019,2020-03-06,2020-03-14,1,8,1,0,0,66,74,3,0,0
300795,米奥会展,2019,2020-03-06,2020-03-20,1,14,1,0,1,66,80,3,0,0
600212,绿能慧充,2019,2020-03-06,2020-04-24,2,49,1,0,1,66,115,4,1,1
600419,天润乳业,2019,2020-03-06,2020-04-24,1,49,1,0,1,66,115,4,1,1
603186,华正新材,2019,2020-03-06,2020-03-12,1,6,1,0,0,66,72,3,0,0
603360,百傲化学,2019,2020-03-06,2020-03-20,1,14,1,0,1,66,80,3,0,0
603393,新天然气,2019,2020-03-06,2020-03-31,2,25,1,0,1,66,91,3,0,0
603712,七一二,2019,2020-03-06,2020-03-18,1,12,1,0,0,66,78,3,0,0
603813,*ST原尚,2019,2020-03-06,2020-03-31,1,25,1,0,1,66,91,3,0,0
000029,深深房A,2019,2020-03-07,2020-03-14,1,7,1,0,0,67,74,3,0,0
000888,峨眉山A,2019,2020-03-07,2020-04-23,1,47,1,0,1,67,114,4,1,1
000915,华特达因,2019,2020-03-07,2020-03-07,0,0,0,0,0,67,67,3,0,0
002521,齐峰新材,2019,2020-03-07,2020-03-07,0,0,0,0,0,67,67,3,0,0
002865,钧达股份,2019,2020-03-07,2020-03-26,1,19,1,0,1,67,86,3,0,0
300196,长海股份,2019,2020-03-07,2020-04-08,1,32,1,0,1,67,99,4,1,0
600067,冠城新材,2019,2020-03-07,2020-03-25,1,18,1,0,1,67,85,3,0,0
600113,浙江东日,2019,2020-03-07,2020-04-18,1,42,1,0,1,67,109,4,1,0
600120,浙江东方,2019,2020-03-07,2020-03-28,1,21,1,0,1,67,88,3,0,0
600456,宝钛股份,2019,2020-03-07,2020-03-20,1,13,1,0,0,67,80,3,0,0
600603,广汇物流,2019,2020-03-07,2020-03-11,1,4,1,0,0,67,71,3,0,0
600812,华北制药,2019,2020-03-07,2020-03-31,1,24,1,0,1,67,91,3,0,0
601127,赛力斯,2019,2020-03-07,2020-04-28,1,52,1,0,1,67,119,4,1,1
603333,尚纬股份,2019,2020-03-07,2020-04-25,1,49,1,0,1,67,116,4,1,1
603615,茶花股份,2019,2020-03-07,2020-04-07,2,31,1,0,1,67,98,4,1,0
002181,粤传媒,2019,2020-03-09,2020-03-09,0,0,0,0,0,69,69,3,0,0
002723,小崧股份,2019,2020-03-09,2020-04-03,1,25,1,0,1,69,94,4,1,0
600301,华锡有色,2019,2020-03-09,2020-03-20,1,11,1,0,0,69,80,3,0,0
002067,景兴纸业,2019,2020-03-10,2020-04-03,1,24,1,0,1,70,94,4,1,0
002117,东港股份,2019,2020-03-10,2020-04-14,1,35,1,0,1,70,105,4,1,0
002312,川发龙蟒,2019,2020-03-10,2020-03-31,1,21,1,0,1,70,91,3,0,0
002593,日上集团,2019,2020-03-10,2020-04-07,1,28,1,0,1,70,98,4,1,0
002607,中公教育,2019,2020-03-10,2020-03-10,0,0,0,0,0,70,70,3,0,0
002736,国信证券,2019,2020-03-10,2020-03-20,1,10,1,0,0,70,80,3,0,0
002777,久远银海,2019,2020-03-10,2020-04-27,1,48,1,0,1,70,118,4,1,1
002961,瑞达期货,2019,2020-03-10,2020-03-10,0,0,0,0,0,70,70,3,0,0
300005,探路者,2019,2020-03-10,2020-03-20,1,10,1,0,0,70,80,3,0,0
300183,东软载波,2019,2020-03-10,2020-03-31,1,21,1,0,1,70,91,3,0,0
300211,*ST亿通,2019,2020-03-10,2020-03-10,0,0,0,0,0,70,70,3,0,0
300254,仟源医药,2019,2020-03-10,2020-04-28,1,49,1,0,1,70,119,4,1,1
300436,广生堂,2019,2020-03-10,2020-03-26,1,16,1,0,1,70,86,3,0,0
300532,今天国际,2019,2020-03-10,2020-03-31,1,21,1,0,1,70,91,3,0,0
300554,三超新材,2019,2020-03-10,2020-03-23,1,13,1,0,0,70,83,3,0,0
600119,*ST长投,2019,2020-03-10,2020-04-11,2,32,1,0,1,70,102,4,1,0
600370,*ST三房,2019,2020-03-10,2020-03-10,0,0,0,0,0,70,70,3,0,0
600477,杭萧钢构,2019,2020-03-10,2020-03-10,0,0,0,0,0,70,70,3,0,0
600731,湖南海利,2019,2020-03-10,2020-04-07,1,28,1,0,1,70,98,4,1,0
600732,爱旭股份,2019,2020-03-10,2020-02-26,1,-13,0,1,0,70,57,2,0,0
600814,杭州解百,2019,2020-03-10,2020-04-02,1,23,1,0,1,70,93,4,1,0
600817,宇通重工,2019,2020-03-10,2020-03-10,0,0,0,0,0,70,70,3,0,0
603318,水发燃气,2019,2020-03-10,2020-03-26,1,16,1,0,1,70,86,3,0,0
603617,君禾股份,2019,2020-03-10,2020-03-31,1,21,1,0,1,70,91,3,0,0
000532,华金资本,2019,2020-03-11,2020-03-25,1,14,1,0,1,71,85,3,0,0
000688,国城矿业,2019,2020-03-11,2020-04-10,1,30,1,0,1,71,101,4,1,0
002225,濮耐股份,2019,2020-03-11,2020-03-25,1,14,1,0,1,71,85,3,0,0
002243,力合科创,2019,2020-03-11,2020-03-25,1,14,1,0,1,71,85,3,0,0
002436,兴森科技,2019,2020-03-11,2020-03-31,1,20,1,0,1,71,91,3,0,0
300522,世名科技,2019,2020-03-11,2020-04-03,1,23,1,0,1,71,94,4,1,0
300577,开润股份,2019,2020-03-11,2020-04-20,1,40,1,0,1,71,111,4,1,1
600156,华升股份,2019,2020-03-11,2020-04-10,1,30,1,0,1,71,101,4,1,0
600386,北巴传媒,2019,2020-03-11,2020-04-10,1,30,1,0,1,71,101,4,1,0
600433,冠豪高新,2019,2020-03-11,2020-03-11,0,0,0,0,0,71,71,3,0,0
600963,岳阳林纸,2019,2020-03-11,2020-03-11,0,0,0,0,0,71,71,3,0,0
000026,飞亚达,2019,2020-03-12,2020-03-20,1,8,1,0,0,72,80,3,0,0
000600,建投能源,2019,2020-03-12,2020-03-24,1,12,1,0,0,72,84,3,0,0
000739,普洛药业,2019,2020-03-12,2020-03-12,0,0,0,0,0,72,72,3,0,0
000897,津滨发展,2019,2020-03-12,2020-03-12,0,0,0,0,0,72,72,3,0,0
002056,横店东磁,2019,2020-03-12,2020-03-12,0,0,0,0,0,72,72,3,0,0
002916,深南电路,2019,2020-03-12,2020-03-20,1,8,1,0,0,72,80,3,0,0
300016,北陆药业,2019,2020-03-12,2020-03-12,0,0,0,0,0,72,72,3,0,0
300681,英搏尔,2019,2020-03-12,2020-03-31,1,19,1,0,1,72,91,3,0,0
300692,中赋科技,2019,2020-03-12,2020-04-18,1,37,1,0,1,72,109,4,1,0
600186,莲花控股,2019,2020-03-12,2020-03-31,2,19,1,0,1,72,91,3,0,0
600284,浦东建设,2019,2020-03-12,2020-03-31,1,19,1,0,1,72,91,3,0,0
600396,华电辽能,2019,2020-03-12,2020-04-02,1,21,1,0,1,72,93,4,1,0
603018,华设集团,2019,2020-03-12,2020-03-26,1,14,1,0,1,72,86,3,0,0
603025,大豪科技,2019,2020-03-12,2020-03-10,1,-2,0,1,0,72,70,3,0,0
603229,奥翔药业,2019,2020-03-12,2020-04-03,1,22,1,0,1,72,94,4,1,0
603303,得邦照明,2019,2020-03-12,2020-03-12,0,0,0,0,0,72,72,3,0,0
603327,福蓉科技,2019,2020-03-12,2020-03-20,1,8,1,0,0,72,80,3,0,0
603659,璞泰来,2019,2020-03-12,2020-03-27,1,15,1,0,1,72,87,3,0,0
603887,城地香江,2019,2020-03-12,2020-03-31,1,19,1,0,1,72,91,3,0,0
000050,深天马A,2019,2020-03-13,2020-03-18,1,5,1,0,0,73,78,3,0,0
000726,鲁泰A,2019,2020-03-13,2020-04-30,1,48,1,0,1,73,121,4,1,1
000791,甘肃能源,2019,2020-03-13,2020-03-28,1,15,1,0,1,73,88,3,0,0
000795,英洛华,2019,2020-03-13,2020-03-13,0,0,0,0,0,73,73,3,0,0
000856,冀东装备,2019,2020-03-13,2020-03-13,0,0,0,0,0,73,73,3,0,0
000877,天山股份,2019,2020-03-13,2020-03-21,1,8,1,0,0,73,81,3,0,0
002165,红宝丽,2019,2020-03-13,2020-03-13,0,0,0,0,0,73,73,3,0,0
002190,成飞集成,2019,2020-03-13,2020-04-02,1,20,1,0,1,73,93,4,1,0
002232,启明信息,2019,2020-03-13,2020-04-18,1,36,1,0,1,73,109,4,1,0
002238,天威视讯,2019,2020-03-13,2020-04-10,2,28,1,0,1,73,101,4,1,0
002419,天虹股份,2019,2020-03-13,2020-03-20,1,7,1,0,0,73,80,3,0,0
002879,长缆科技,2019,2020-03-13,2020-03-13,0,0,0,0,0,73,73,3,0,0
002910,庄园牧场,2019,2020-03-13,2020-04-24,2,42,1,0,1,73,115,4,1,1
002949,华阳国际,2019,2020-03-13,2020-04-17,1,35,1,0,1,73,108,4,1,0
300036,超图软件,2019,2020-03-13,2020-04-10,1,28,1,0,1,73,101,4,1,0
300358,楚天科技,2019,2020-03-13,2020-03-28,1,15,1,0,1,73,88,3,0,0
300414,中光防雷,2019,2020-03-13,2020-03-31,1,18,1,0,1,73,91,3,0,0
300565,科信技术,2019,2020-03-13,2020-04-24,1,42,1,0,1,73,115,4,1,1
300726,宏达电子,2019,2020-03-13,2020-03-13,0,0,0,0,0,73,73,3,0,0
600050,中国联通,2019,2020-03-13,2020-03-24,1,11,1,0,0,73,84,3,0,0
600095,湘财股份,2019,2020-03-13,2020-04-30,2,48,1,0,1,73,121,4,1,1
600211,西藏药业,2019,2020-03-13,2020-03-13,0,0,0,0,0,73,73,3,0,0
600228,*ST返利,2019,2020-03-13,2020-03-28,1,15,1,0,1,73,88,3,0,0
600331,宏达股份,2019,2020-03-13,2020-04-03,1,21,1,0,1,73,94,4,1,0
600423,*ST柳化,2019,2020-03-13,2020-04-30,1,48,1,0,1,73,121,4,1,1
600548,深高速,2019,2020-03-13,2020-03-19,1,6,1,0,0,73,79,3,0,0
600765,中航重机,2019,2020-03-13,2020-04-30,2,48,1,0,1,73,121,4,1,1
600803,新奥股份,2019,2020-03-13,2020-03-13,0,0,0,0,0,73,73,3,0,0
601168,西部矿业,2019,2020-03-13,2020-03-13,0,0,0,0,0,73,73,3,0,0
603058,永吉股份,2019,2020-03-13,2020-04-20,1,38,1,0,1,73,111,4,1,1
603103,横店影视,2019,2020-03-13,2020-03-13,0,0,0,0,0,73,73,3,0,0
603300,海南华铁,2019,2020-03-13,2020-04-15,1,33,1,0,1,73,106,4,1,0
603336,宏辉果蔬,2019,2020-03-13,2020-03-13,0,0,0,0,0,73,73,3,0,0
603613,国联股份,2019,2020-03-13,2020-03-20,1,7,1,0,0,73,80,3,0,0
002066,瑞泰科技,2019,2020-03-14,2020-03-31,1,17,1,0,1,74,91,3,0,0
002097,山河智能,2019,2020-03-14,2020-03-26,1,12,1,0,0,74,86,3,0,0
002695,煌上煌,2019,2020-03-14,2020-03-14,0,0,0,0,0,74,74,3,0,0
002706,良信股份,2019,2020-03-14,2020-03-28,1,14,1,0,1,74,88,3,0,0
300345,华民股份,2019,2020-03-14,2020-03-24,1,10,1,0,0,74,84,3,0,0
300363,博腾股份,2019,2020-03-14,2020-03-28,1,14,1,0,1,74,88,3,0,0
300488,恒锋工具,2019,2020-03-14,2020-03-31,1,17,1,0,1,74,91,3,0,0
302132,中航成飞,2019,2020-03-14,2020-04-01,1,18,1,0,1,74,92,4,1,0
600076,康欣新材,2019,2020-03-14,2020-05-20,2,67,1,0,1,74,141,5,0,1
600096,云天化,2019,2020-03-14,2020-04-21,1,38,1,0,1,74,112,4,1,1
600206,有研新材,2019,2020-03-14,2020-04-17,1,34,1,0,1,74,108,4,1,0
600523,贵航股份,2019,2020-03-14,2020-03-14,0,0,0,0,0,74,74,3,0,0
600761,安徽合力,2019,2020-03-14,2020-03-14,0,0,0,0,0,74,74,3,0,0
600826,兰生股份,2019,2020-03-14,2020-04-18,1,35,1,0,1,74,109,4,1,0
600973,宝胜股份,2019,2020-03-14,2020-03-31,1,17,1,0,1,74,91,3,0,0
603038,华立股份,2019,2020-03-14,2020-04-28,1,45,1,0,1,74,119,4,1,1
603093,南华期货,2019,2020-03-14,2020-03-14,0,0,0,0,0,74,74,3,0,0
300161,华中数控,2019,2020-03-16,2020-04-21,2,36,1,0,1,76,112,4,1,1
600862,中航高科,2019,2020-03-16,2020-03-16,0,0,0,0,0,76,76,3,0,0
600989,宝丰能源,2019,2020-03-16,2020-03-16,0,0,0,0,0,76,76,3,0,0
603022,新通联,2019,2020-03-16,2020-04-10,1,25,1,0,1,76,101,4,1,0
688202,美迪西,2019,2020-03-16,2020-04-16,1,31,1,0,1,76,107,4,1,0
000004,*ST国华,2019,2020-03-17,2020-04-28,1,42,1,0,1,77,119,4,1,1
000025,特力A,2019,2020-03-17,2020-04-03,1,17,1,0,1,77,94,4,1,0
000430,ST张家界,2019,2020-03-17,2020-04-28,2,42,1,0,1,77,119,4,1,1
000572,海马汽车,2019,2020-03-17,2020-03-31,1,14,1,0,1,77,91,3,0,0
000661,长春高新,2019,2020-03-17,2020-03-27,1,10,1,0,0,77,87,3,0,0
000752,*ST西发,2019,2020-03-17,2020-04-29,1,43,1,0,1,77,120,4,1,1
000768,中航西飞,2019,2020-03-17,2020-03-31,1,14,1,0,1,77,91,3,0,0
000868,安凯客车,2019,2020-03-17,2020-03-17,0,0,0,0,0,77,77,3,0,0
002007,华兰生物,2019,2020-03-17,2020-03-24,1,7,1,0,0,77,84,3,0,0
002033,丽江股份,2019,2020-03-17,2020-03-31,1,14,1,0,1,77,91,3,0,0
002114,罗平锌电,2019,2020-03-17,2020-03-17,0,0,0,0,0,77,77,3,0,0
002233,塔牌集团,2019,2020-03-17,2020-03-17,0,0,0,0,0,77,77,3,0,0
002507,涪陵榨菜,2019,2020-03-17,2020-03-17,0,0,0,0,0,77,77,3,0,0
002649,博彦科技,2019,2020-03-17,2020-04-30,1,44,1,0,1,77,121,4,1,1
002728,特一药业,2019,2020-03-17,2020-03-27,1,10,1,0,0,77,87,3,0,0
002812,恩捷股份,2019,2020-03-17,2020-03-17,0,0,0,0,0,77,77,3,0,0
002821,凯莱英,2019,2020-03-17,2020-04-09,1,23,1,0,1,77,100,4,1,0
002863,今飞凯达,2019,2020-03-17,2020-03-28,1,11,1,0,0,77,88,3,0,0
002902,铭普光磁,2019,2020-03-17,2020-03-17,0,0,0,0,0,77,77,3,0,0
300138,晨光生物,2019,2020-03-17,2020-04-21,1,35,1,0,1,77,112,4,1,1
300172,中电环保,2019,2020-03-17,2020-04-21,1,35,1,0,1,77,112,4,1,1
300204,舒泰神,2019,2020-03-17,2020-03-17,0,0,0,0,0,77,77,3,0,0
300285,国瓷材料,2019,2020-03-17,2020-03-17,0,0,0,0,0,77,77,3,0,0
300563,神宇股份,2019,2020-03-17,2020-03-17,0,0,0,0,0,77,77,3,0,0
300659,中孚信息,2019,2020-03-17,2020-04-01,2,15,1,0,1,77,92,4,1,0
600235,民丰特纸,2019,2020-03-17,2020-04-09,1,23,1,0,1,77,100,4,1,0
600287,苏豪时尚,2019,2020-03-17,2020-04-21,1,35,1,0,1,77,112,4,1,1
600866,星湖科技,2019,2020-03-17,2020-03-17,0,0,0,0,0,77,77,3,0,0
600982,宁波能源,2019,2020-03-17,2020-03-17,0,0,0,0,0,77,77,3,0,0
601882,海天精工,2019,2020-03-17,2020-03-17,0,0,0,0,0,77,77,3,0,0
603128,华贸物流,2019,2020-03-17,2020-03-27,1,10,1,0,0,77,87,3,0,0
603228,景旺电子,2019,2020-03-17,2020-03-17,0,0,0,0,0,77,77,3,0,0
603356,华菱精工,2019,2020-03-17,2020-04-28,1,42,1,0,1,77,119,4,1,1
603386,骏亚科技,2019,2020-03-17,2020-04-09,1,23,1,0,1,77,100,4,1,0
603389,*ST亚振,2019,2020-03-17,2020-04-28,1,42,1,0,1,77,119,4,1,1
000002,万科A,2019,2020-03-18,2020-03-18,0,0,0,0,0,78,78,3,0,0
000088,盐田港,2019,2020-03-18,2020-04-09,1,22,1,0,1,78,100,4,1,0
000400,许继电气,2019,2020-03-18,2020-04-10,1,23,1,0,1,78,101,4,1,0
000828,东莞控股,2019,2020-03-18,2020-03-18,0,0,0,0,0,78,78,3,0,0
001914,招商积余,2019,2020-03-18,2020-04-14,1,27,1,0,1,78,105,4,1,0
002080,中材科技,2019,2020-03-18,2020-03-18,0,0,0,0,0,78,78,3,0,0
002163,海南发展,2019,2020-03-18,2020-03-18,0,0,0,0,0,78,78,3,0,0
002175,*ST东智,2019,2020-03-18,2020-03-18,0,0,0,0,0,78,78,3,0,0
002182,宝武镁业,2019,2020-03-18,2020-03-18,0,0,0,0,0,78,78,3,0,0
002306,*ST云网,2019,2020-03-18,2020-03-17,1,-1,0,1,0,78,77,3,0,0
002402,和而泰,2019,2020-03-18,2020-04-09,2,22,1,0,1,78,100,4,1,0
300074,华平股份,2019,2020-03-18,2020-03-18,0,0,0,0,0,78,78,3,0,0
300310,宜通世纪,2019,2020-03-18,2020-03-07,1,-11,0,1,0,78,67,3,0,0
300738,奥飞数据,2019,2020-03-18,2020-03-18,0,0,0,0,0,78,78,3,0,0
300801,泰和科技,2019,2020-03-18,2020-03-09,1,-9,0,1,0,78,69,3,0,0
600246,万通发展,2019,2020-03-18,2020-04-30,1,43,1,0,1,78,121,4,1,1
600298,安琪酵母,2019,2020-03-18,2020-03-31,1,13,1,0,0,78,91,3,0,0
