event_id,symbol,fiscal_year,bad_news_realized,late_disclosure_q75,postponed,revision_count,predicted_bad_news_risk,risk_bucket,actual_disclosure,event_trading_date,window_day,abnormal_ret,stock_ret,market_ret
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-20,0.016382248078874895,0.009195402298850519,-0.007186845780024376
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-19,0.022889591006204357,0.02505694760820054,0.0021673566019961843
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-18,0.0034198624191995597,0.0022222222222221255,-0.0011976401969774342
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-17,0.012294673575429571,0.0022172949002217113,-0.01007737867520786
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-16,-0.0410330996580488,-0.04646017699115046,-0.00542707733310166
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-15,-0.025982410430226754,-0.02088167053364265,0.0051007398965841055
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-14,-0.03109564122609665,-0.04265402843601884,-0.011558387209922194
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-13,0.017087645826984632,0.022277227722772297,0.005189581895787665
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-12,-0.014376841556846709,-0.009685230024213065,0.004691611532633644
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-11,0.005562978153475395,0.022004889975550057,0.016441911822074662
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-10,0.06875694708805291,0.06459330143540676,-0.004163645652646153
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-9,-0.04359588003726522,-0.04719101123595504,-0.003595131198689816
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-8,-0.002992919896335433,-0.011792452830188593,-0.00879953293385316
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-7,-0.008720560024151669,-0.009546539379474916,-0.0008259793553232475
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-6,-0.0231809384266346,-0.03132530120481947,-0.008144362778184866
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-5,0.002619955491894088,0.0024875621890549926,-0.00013239330283909556
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-4,-0.004300779515034714,-0.012406947890818976,-0.008106168375784262
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-3,-0.06880900195976114,-0.047738693467336724,0.021070308492424417
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-2,-0.08165226154474992,-0.09234828496042213,-0.010696023415672218
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,-1,0.05721266357811383,0.07267441860465107,0.015461755026537238
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,0,-0.020203991322639503,-0.01897018970189701,0.0012338016207424918
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,1,-0.00869179549741872,-0.016574585635359185,-0.007882790137940465
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,2,-0.01662564675802347,-0.0196629213483146,-0.003037274590291128
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,3,0.018451027488674998,0.011461318051575908,-0.00698970943709909
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,4,0.00977297339048766,0.014164305949008638,0.004391332558520977
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,5,0.0031277820055042316,0.005586592178770999,0.0024588101732667678
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,6,0.0013738330367092377,0.016666666666666607,0.01529283362995737
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,7,0.02719109134731501,0.0382513661202184,0.011060274772903389
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,8,0.00012273447792565673,-0.0052631578947368585,-0.005385892372662515
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,9,-0.012192775300803982,0.002645502645502784,0.014838277946306766
