symbol,firm_name_schedule,fiscal_year,first_appointment,actual_disclosure,revision_count,delay_days,postponed,advanced,long_postponement,first_doy,actual_doy,actual_month,april_disclosure,after_apr20,name,industry,loss_current,negative_eps_current,large_profit_drop_current,revenue_drop_current,bad_news_realized,severe_bad_news,lag_size,lag_profitability,lag_leverage,lag_revenue_growth,lag_profit_growth,lag_eps,lag_book_value,lag_cashflow_ps,lag_liquidity,lag_margin,lag_inventory_turnover,forecast_available,forecast_bad,forecast_severe_bad,forecast_yoy_min,forecast_yoy_mean,forecast_value_min,first_forecast_notice,last_forecast_notice,days_forecast_to_report,industry_group,actual_doy_pct_year,first_doy_pct_year,late_disclosure_q75,late_disclosure_q67,initial_late_q75,predicted_bad_news_risk,risk_bucket,strata,event_id
002584,西陇科学,2022,2023-04-29,2023-04-29,0,0.0,0,0,0,119.0,119,4,1,1,西陇科学,化工行业,0,0,1,0,1,1,4.00369019395397,9.61,52.05,-4.71,221.49,0.35,3.8,0.64,1.55,10.11,8.28,1,1,0,-55.61,-40.042500000000004,0.15,2023-01-31,2023-01-31,88.0,化工行业,0.9315068493150684,0.9230593607305936,1,1,1,,not_test_year,2022_bad1_late1,50
605398,新炬网络,2022,2023-04-13,2023-04-13,0,0.0,0,0,0,103.0,103,4,1,0,新炬网络,其他,0,0,0,0,0,0,1.9329696377795786,7.57,22.23,5.43,-36.22,0.85,16.41,1.33,4.55,37.69,5.54,0,0,0,5.4,33.17,0.22,,,999.0,其他,0.33036529680365295,0.33013698630136984,0,0,0,,not_test_year,2022_bad0_late0,51
603712,七一二,2021,2022-04-28,2022-04-28,0,0.0,0,0,0,118.0,118,4,1,1,七一二,其他,0,0,0,0,0,0,3.3307749173656096,18.9,56.3,25.95,51.48,0.68,3.89,1.04,1.61,48.12,0.54,0,0,0,5.4,33.17,0.22,,,999.0,其他,0.75260663507109,0.7755924170616114,1,1,1,,not_test_year,2021_bad0_late1,52
000525,红太阳,2022,2023-04-29,2023-04-29,0,0.0,0,0,0,119.0,119,4,1,1,红太阳,农药化肥,0,0,0,0,0,0,3.8676530576922055,-102.6847,92.27980000000002,16.44,-1919.0309,-1.5753,0.95,0.6,0.61,20.05,4.5,1,0,0,124.84,301.315,1.6,2023-01-31,2023-01-31,88.0,Other,0.9315068493150684,0.9230593607305936,1,1,1,,not_test_year,2022_bad0_late1,53
000978,桂林旅游,2022,2023-03-30,2023-04-15,1,16.0,1,0,1,89.0,105,4,1,0,桂林旅游,酒店旅游,1,1,0,1,1,1,1.220829921392359,-17.58,56.18,-6.39,20.18,-0.591,3.07,-0.09,0.44,-4.482,47.45,1,1,1,-46.39,-37.24,-292320000.0,2023-01-31,2023-01-31,74.0,Other,0.3547945205479452,0.1506849315068493,0,0,0,,not_test_year,2022_bad1_late0,54
002157,正邦科技,2021,2022-04-30,2022-04-30,0,0.0,0,0,0,120.0,120,4,1,1,正邦科技,农林牧渔,1,1,1,0,1,1,6.199819280948752,45.06,58.56,100.53,248.75,2.2871,7.42,1.47,1.22,22.35,4.11,1,1,1,-429.9,-277.7833333333333,-2541000000.0,2022-01-29,2022-01-29,91.0,农林牧渔,0.9466824644549763,0.9507109004739337,1,1,1,,not_test_year,2021_bad1_late1,55
601858,中国科传,2023,2024-04-27,2024-04-27,0,0.0,0,0,0,118.0,118,4,1,1,中国科传,其他,0,0,0,0,0,0,3.335413641116152,9.97,28.02,2.88,-3.64,0.59,6.11,0.56,2.68,27.35,3.09,0,0,0,5.4,33.17,0.22,,,999.0,其他,0.7791424743188924,0.7972309066547566,1,1,1,0.004320516335115698,bottom_20_risk,,56
002331,皖通科技,2021,2022-04-27,2022-04-27,0,0.0,0,0,0,117.0,117,4,1,1,皖通科技,电子信息,1,1,0,1,1,1,2.818995095053937,-9.43,28.21,7.97,-215.87,-0.474,4.76,0.19,2.66,24.64,2.88,1,1,1,-32.74,24.771666666666665,-98849450.0,2022-01-26,2022-01-26,91.0,电子信息,0.6774881516587677,0.706872037914692,0,1,0,,not_test_year,2021_bad1_late0,57
000690,宝新能源,2023,2024-04-26,2024-04-09,1,-17.0,0,1,0,117.0,100,4,1,0,宝新能源,电力行业,0,0,0,0,0,0,4.555454593742159,1.63,43.83,0.05,-77.78,0.08,5.19,0.55,1.96,5.42,20.46,1,0,0,376.33,605.8725,0.4,2024-01-30,2024-01-30,70.0,电力行业,0.26574363555158553,0.6712818222420723,0,0,0,0.002055785085275214,bottom_20_risk,,58
002524,光正眼科,2023,2024-04-25,2024-04-25,0,0.0,0,0,0,116.0,116,4,1,1,光正眼科,钢铁行业,0,0,0,0,0,0,2.1598687907924505,-26.14,82.36,-26.52,-311.82,-0.15,0.53,0.24,0.33,24.96,10.42,1,1,1,39.425,83.72666666666667,-3000000.0,2024-01-30,2024-01-30,86.0,钢铁行业,0.572577043322912,0.582402858418937,0,0,0,0.7860926862442151,middle_60_risk,,59
